upn,gender_ap2,english_literature_gcse_level_1/2_ap1,english_literature_gcse_level_1/2_ap2,english_literature_gcse_level_1/2_real
H886247410029,Male,4,4,7
K931252509020,Male,4,3,4
L931252909059,Female,3,1,2
W931252111065,Male,6,5,2
M931252710007,Male,8,8,7
L931412020030,Male,U,2,1
V931321008075,Female,6,7,6
U931325209009,Female,8,8,7
D931100609030,Female,5,6,5
P931383310002,Female,6,7,6
Z931325309007,Female,3,5,4
W931235209029,Male,,3,3
Q931235212001,Male,7,8,6
F931321308025,Female,2,,2
R931252710029,Female,8,8,6
H931100509011,Female,7,6,6
W310350110023,Female,4,4,4
G931321113006,Male,7,7,5
B931100609017,Female,7,7,7
Y931252509028,Male,4,4,4
Q931253109015,Male,2,3,3
L931100509013,Male,6,6,7
A931252509012,Female,4,4,4
Y931321309029,Male,4,4,5
Z931412020040,Female,4,,
P931101109055,Male,1,2,2
D931325208074,Female,3,4,4
W931254310067,Female,4,4,4
T887690719015,Female,1,1,U
Y931252211003,Male,4,4,5
K931252910051,Male,7,7,6
J931101109071,Female,5,6,5
F931100509027,Female,4,4,4
W391377809016,Male,2,3,5
Z931254309090,Female,9,8,9
B931252110021,Male,U,,
A931100509014,Female,1,4,4
W931321310001,Female,,8,7
B931252710010,Female,U,2,3
C931321610014,Male,6,6,4
U931101109019,Male,5,5,6
B931383814058,Female,7,7,7
Q931202016013,Male,2,1,1
T931412018023,Male,4,6,8
T931252509015,Male,3,3,4
R931321009045,Female,3,4,5
Q931325810006,Female,6,5,8
N304350709089,Male,6,6,6
U931252710013,Male,5,6,5
H931252710014,Male,5,5,7
R931383816054,Male,4,5,5
R931253116053,Female,5,6,6
C931253116052,Female,6,7,6
X931412020027,Male,3,3,2
V333218013124,Female,8,7,9
D931325309031,Female,2,3,1
V931101108067,Male,,,
H931101109051,Male,3,4,4
V931252909047,Female,3,5,5
R931100609011,Female,6,6,6
L931383612038,Female,1,2,3
C931325309038,Male,,,
Q931100609018,Male,4,3,3
H931252209056,Female,4,5,6
U931101008035,Female,5,5,4
W931252109025,Male,,,
R931412017031,Male,5,4,5
Q931100609020,Female,6,6,5
N931100608064,Female,7,8,7
F306200709087,Female,8,8,8
X931252710015,Female,8,8,8
F931100609041,Male,6,6,5
R931101109037,Female,5,5,5
F931235210018,Male,8,7,6
T931252911047,Female,4,5,5
H931321309010,Male,5,5,4
F931252109004,Male,3,4,3
M931252916068,Female,5,6,5
Y931321110015,Male,6,6,6
C373236909082,Male,4,4,5
V931240110042,Female,4,4,5
L931412020028,Female,8,7,6
G931383410017,Male,8,7,6
W931321009038,Male,6,6,7
N931383610018,Female,7,6,6
B931252109011,Female,5,6,7
K931259808024,Female,8,8,8
D316209709080,Male,1,1,1
P931325208073,Female,5,5,5
T931252910046,Female,8,7,7
D931252710019,Male,2,4,3
T931252110004,Male,5,4,5
L931321113001,Female,9,9,9
Z931383214002,Female,5,6,6
W931383410018,Female,7,6,5
M931321110016,Male,4,6,5
N931252109001,Female,U,U,
K931325309006,Female,6,7,6
U931383908031,Female,8,7,6
Q931321008053,Male,5,5,6
V931325309014,Female,8,7,8
E931101109020,Female,,,
X931325208068,Male,6,6,5
X931252108044,Female,,3,3
P931252710020,Female,7,8,9
Y931325210014,Female,3,4,3
K931325309035,Male,3,4,5
Z931325309036,Male,,1,2
W931325309034,Male,,,
Q931101109046,Female,4,4,3
M931321115023,Female,4,3,4
Q931101109017,Female,4,4,6
K931101108059,Male,4,6,6
U931101109021,Male,4,4,4
P931252108047,Female,5,5,5
X886463320016,Male,9,8,7
C931100609037,Male,4,4,3
A931252108046,Male,3,4,4
K931101109004,Female,8,8,7
D931252109049,Male,4,4,5
B931101108073,Female,2,2,3
V931100509030,Male,7,7,6
K931383410019,Male,4,4,5
T931100609002,Female,5,7,7
V931101109012,Male,6,6,5
Y931100509032,Female,8,8,8
U931253114004,Female,4,3,3
X931252211041,Female,1,2,2
W931101109032,Male,3,4,4
T931321112004,Female,9,9,9
Z931101109005,Female,8,8,7
J931384210007,Female,4,4,4
T931100609031,Male,8,8,8
H931101008036,Male,6,6,7
Q931252108040,Male,3,2,4
F931100609012,Female,7,7,6
U931321010010,Male,,,
W931100608061,Male,8,8,8
J931101109013,Female,8,7,8
M931252509029,Female,2,3,3
Z931100609006,Female,7,7,7
Y931412017035,Male,1,2,1
B931235209044,Male,2,3,2
B931325309020,Male,2,4,4
C931253110015,Male,5,5,5
R931100609009,Female,7,7,6
Q931252909054,Male,4,4,5
U931252110024,Male,4,3,4
D931100609028,Male,4,3,4
N931325209054,Male,4,5,4
Y931325210043,Male,1,2,3
F931252509025,Male,3,3,2
W931101108060,Female,7,8,9
N931240110007,Female,3,4,3
T931100609029,Female,7,7,8
W931252509017,Male,3,3,3
U931325208066,Female,6,6,5
A931252109020,Male,U,,
M931321009023,Female,3,3,2
M931235210024,Female,4,5,5
N931101109035,Female,3,3,4
G931100609032,Female,,,X
A931252110030,Female,9,8,8
J931101008027,Male,,,
L931101008038,Female,9,8,8
K931412020037,Male,6,5,5
U931101109048,Female,6,6,6
X890362410035,Female,,,1
Q931101008033,Male,8,8,7
C931412020042,Male,6,6,6
V931101109041,Female,3,3,2
B931400418001,Male,1,2,2
,Male,-0.45,,-0.14
,Male,-0.45,,5.07
,,-0.45,36861,-0.14
,,-0.45,36861,5.07
,,-0.45,37020,-0.14
,,-0.45,37020,5.07
,Male,4.79,,-0.14
,Male,4.79,,5.07
,,4.79,36861,-0.14
,,4.79,36861,5.07
,,4.79,37020,-0.14
,,4.79,37020,5.07
B931103108023,Female,,6,5
Y931412021048,Male,,,
