upn,rm_scaled_score_real,estimate_real,actual_real,ict_btec_ap1,ict_btec_ap2,ict_btec_real
,,,,-1.57,-1.51,-1.39
,,,,-1.57,-1.51,3.81
,,,,-1.57,3.19,-1.39
,,,,-1.57,3.19,3.81
,,,,3.09,,-1.39
,,,,3.09,,3.81
,,,,3.09,-1.51,-1.39
,,,,3.09,-1.51,3.81
,,,,3.09,3.19,-1.39
,,,,3.09,3.19,3.81
B931103108023,,,,,,
Y931412021048,,,,,,
Female,0.0,0.0,0.0,,,
Female,97.0,35.31,41.0,,,P1
Female,101.5,43.69,52.5,,,P2
Female,100.5,42.03,49.0,,,P2
Female,83.0,19.87,30.0,,,P1
Female,106.0,51.95,56.0,,,P2
Female,113.0,68.91,68.0,,,M2
Female,94.5,32.46,39.0,,,P1
Female,99.5,40.33,47.0,,,P1
Female,103.0,45.79,52.5,,,P2
Female,89.0,24.34,30.0,,,P1
Female,111.0,63.85,68.0,,,M2
Female,0.0,0.0,0.0,,,
Female,120.0,83.0,86.0,,,D*2
Female,104.0,47.52,51.0,,,P2
Female,106.0,51.95,60.0,,,M2
Female,98.0,37.14,46.0,,,P1
Female,86.0,19.87,32.0,,,P1
Female,102.0,43.69,47.0,,,P1
Female,0.0,0.0,0.0,,,
Female,108.0,56.58,56.0,,,M2
Female,117.0,77.86,80.0,,,D2
Female,108.5,59.05,65.0,,,M2
Female,89.0,24.34,35.0,,,P1
Female,100.5,42.03,56.0,,,M2
Female,100.5,42.03,49.0,,,P1
Female,100.0,40.33,47.0,,,P1
Female,95.5,33.84,39.0,,,P1
Female,107.5,56.58,58.0,,,M2
Female,99.0,38.7,40.0,,,P1
Female,114.0,71.19,78.0,,,D2
Female,97.0,35.31,39.0,,,P1
Female,109.0,59.05,70.0,,,M2
Female,100.0,40.33,47.0,,,P1
Female,95.5,33.84,39.0,,,P1
Female,109.0,59.05,70.0,,,M2
Female,112.0,66.48,70.0,,,D2
Female,118.0,79.51,81.0,,,D2
Female,104.5,49.66,48.0,,,P1
Female,110.0,61.57,68.0,,,M2
Female,100.5,42.03,46.0,,,P1
Female,101.5,43.69,52.5,,,P2
Female,101.5,43.69,49.0,,,P2
Female,105.5,51.95,58.0,,,M2
Female,108.0,56.58,68.0,,,M2
Female,101.0,42.03,48.0,,,P1
Female,105.0,49.66,63.0,,,M2
Female,97.0,35.31,39.0,,,P1
Female,96.5,35.31,46.0,,,P1
Female,117.0,77.86,84.0,,,D2
Female,86.5,22.75,30.0,,,P1
Female,89.0,24.34,38.0,,,P1
Female,96.5,35.31,46.0,,,P1
Female,90.0,26.23,39.0,,,P1
Female,113.0,68.91,70.0,,,M2
Female,105.0,49.66,56.0,,,P2
Female,114.0,71.19,70.0,,,M2
Female,84.5,19.87,30.0,,,P1
Female,114.5,73.55,78.0,,,D2
Female,99.5,40.33,48.5,,,P1
Female,0.0,0.0,0.0,,,
Female,105.5,51.95,49.0,,,P2
Female,96.5,35.31,47.0,,,P1
Female,105.0,49.66,57.0,,,P2
Female,88.5,24.34,32.0,,,P1
Female,104.5,49.66,58.0,,,M2
Female,99.0,38.7,48.0,,,P1
Female,116.5,77.86,83.0,,,D2
Female,113.0,68.91,78.0,,,D2
Female,89.0,24.34,38.0,,,P1
Female,99.5,40.33,46.0,,,P1
Female,91.0,27.84,35.0,,,P1
Female,96.5,35.31,43.0,,,P1
Female,103.5,47.52,50.0,,,P2
Female,112.0,66.48,80.0,,,D2
Female,0.0,0.0,0.0,,,
Female,90.5,26.23,35.0,,,P1
Female,98.0,37.14,41.0,,,P1
Female,113.5,71.19,76.0,,,D2
Female,0.0,0.0,0.0,,,
Female,102.0,43.69,56.0,,,P2
Female,104.5,49.66,49.0,,,P2
Female,0.0,0.0,0.0,,,
Female,116.0,75.69,78.0,,,D2
Female,107.5,56.58,54.0,,,P2
Female,107.0,54.23,64.0,,,M2
Female,90.0,26.23,39.0,,,P1
Female,114.0,71.19,75.0,,,D2
Female,108.5,59.05,58.0,,,M2
Female,108.5,59.05,66.0,,,M2
Female,112.5,68.91,70.0,,,M2
Female,0.0,0.0,0.0,,,
Female,93.5,30.97,41.0,,,P1
Female,112.5,68.91,68.0,,,M2
Female,0.0,0.0,0.0,,,
Female,101.5,43.69,48.0,,,P1
Female,117.0,77.86,80.0,,,D2
Female,0.0,0.0,0.0,,,
Female,111.0,63.85,61.0,,,M2
Female,111.5,66.48,78.0,,,D2
Female,103.5,47.52,60.0,,,M2
Female,110.0,61.57,75.0,,,D2
Female,95.5,33.84,48.0,,,P1
Female,118.0,79.51,86.0,,,D*2
Female,104.5,49.66,60.0,,,M2
Female,0.0,0.0,0.0,,,
Female,104.0,47.52,53.0,,,P2
Female,100.5,42.03,49.0,,,P2
Female,98.5,38.7,47.0,,,P1
Female,99.5,40.33,48.0,,,P1
Female,102.5,45.79,55.0,,,P2
Female,101.0,42.03,46.0,,,P1
Female,102.0,43.69,49.0,,,P2
Female,109.0,59.05,70.0,,,M2
Female,104.0,47.52,60.0,,,M2
Female,104.5,49.66,58.0,,,M2
Female,103.0,45.79,55.0,,,P2
Female,97.0,35.31,47.0,,,P1
Female,108.5,59.05,59.0,,,M2
Female,112.5,68.91,70.0,,,D2
Female,97.0,35.31,41.0,,,P1
Female,106.5,54.23,61.0,,,M2
Female,114.0,71.19,82.0,,,D2
Female,0.0,0.0,0.0,,,
Female,104.5,49.66,54.0,,,P2
Female,105.5,51.95,58.0,,,M2
Female,117.0,77.86,88.0,,,D*2
Female,106.0,51.95,54.0,,,P2
Female,120.0,83.0,86.0,,,D*2
Female,112.0,66.48,70.0,,,D2
Female,107.5,56.58,58.0,,,M2
Female,86.0,19.87,30.0,,,P1
Female,91.0,27.84,35.0,,,P1
Female,0.0,0.0,0.0,,,
Female,107.5,56.58,65.0,,,M2
Female,106.0,51.95,60.0,,,M2
Female,108.0,56.58,68.0,,,M2
Female,105.5,51.95,56.0,,,P2
Female,110.5,63.85,70.0,,,M2
Female,112.0,66.48,78.0,,,D2
Female,108.0,56.58,68.0,,,M2
Female,101.0,42.03,47.0,,,P1
Female,99.0,38.7,49.0,,,P2
Female,0.0,0.0,0.0,,,
Male,101.0,42.03,43.0,,,P1
Male,105.0,49.66,54.5,,,M2
Male,101.0,42.03,43.0,,,P1
Male,100.0,40.33,43.0,,,P1
Male,99.0,38.7,40.0,,,P1
Male,99.5,40.33,43.0,,,P1
Male,101.5,43.69,43.0,,,P2
Male,98.0,37.14,43.0,,,P1
Male,0.0,0.0,0.0,,,
Male,106.0,51.95,51.0,,,P2
Male,102.0,43.69,43.0,,,P2
Male,110.0,61.57,54.5,,,M2
Male,101.5,43.69,43.0,,,P2
Male,106.0,51.95,54.5,,,M2
Male,101.5,43.69,43.0,,,P1
Male,0.0,0.0,0.0,,,
Male,82.0,18.54,29.0,,,P1
Male,106.0,51.95,54.5,,,M2
Male,100.0,40.33,45.0,,,P2
Male,100.5,42.03,45.0,,,P2
Male,100.0,40.33,43.0,,,P2
Male,107.5,56.58,64.0,,,M2
Male,89.5,26.23,37.0,,,P1
Male,113.0,68.91,68.0,,,M2
Male,105.0,49.66,60.0,,,M2
Male,99.0,38.7,41.0,,,P1
Male,0.0,0.0,0.0,,,
Male,113.5,71.19,72.0,,,D2
Male,112.5,68.91,63.0,,,M2
Male,112.0,66.48,58.0,,,M2
Male,108.0,56.58,60.0,,,M2
Male,97.0,35.31,40.0,,,P1
Male,105.0,49.66,56.0,,,M2
Male,109.0,59.05,68.0,,,M2
Male,108.5,59.05,49.0,,,P2
Male,0.0,0.0,0.0,,,
Male,101.5,43.69,43.0,,,P1
Male,99.5,40.33,45.0,,,P2
Male,113.5,71.19,81.0,,,D2
Male,91.0,27.84,37.0,,,P1
Male,101.5,43.69,43.0,,,P2
Male,97.5,37.14,43.0,,,P1
Male,115.5,75.69,76.0,,,D2
Male,103.0,45.79,46.5,,,P2
Male,101.5,43.69,40.0,,,P1
Male,0.0,0.0,0.0,,,
Male,0.0,0.0,0.0,,,
Male,109.5,61.57,58.0,,,M2
Male,0.0,0.0,0.0,,,
Male,113.0,68.91,68.0,,,M2
Male,100.0,40.33,45.0,,,P2
Male,111.5,66.48,60.0,,,M2
Male,98.5,38.7,43.0,,,P1
Male,115.5,75.69,78.0,,,D2
Male,0.0,0.0,37.0,,,P1
Male,106.0,51.95,54.5,,,M2
Male,110.5,63.85,58.0,,,M2
Male,101.0,42.03,38.0,,,P1
Male,0.0,0.0,0.0,,,
Male,108.5,59.05,49.0,,,P2
Male,114.5,73.55,78.0,,,D2
Male,106.0,51.95,54.5,,,M2
Male,107.5,56.58,56.5,,,M2
Male,97.5,37.14,35.0,,,P1
Male,100.5,42.03,40.0,,,P1
Male,101.5,43.69,49.0,,,P2
Male,104.0,47.52,54.5,,,M2
Male,93.5,30.97,33.0,,,P1
Male,100.0,40.33,40.0,,,P1
Male,117.0,77.86,78.0,,,D2
Male,0.0,0.0,0.0,,,
Male,107.0,54.23,58.0,,,M2
Male,91.0,27.84,35.0,,,P1
Male,109.5,61.57,56.0,,,M2
Male,100.0,40.33,43.0,,,P2
Male,98.0,37.14,43.0,,,P1
Male,109.0,59.05,58.0,,,M2
Male,109.0,59.05,65.0,,,M2
Male,93.5,30.97,43.0,,,P1
Male,101.5,43.69,47.5,,,P2
Male,0.0,0.0,0.0,,,
Male,117.0,77.86,78.0,,,D2
Male,94.5,32.46,32.0,,,P1
Male,99.0,38.7,43.0,,,P1
Male,101.0,42.03,49.0,,,P2
Male,101.5,43.69,42.0,,,P1
Male,0.0,0.0,0.0,,,
Male,105.5,51.95,56.0,,,M2
Male,101.0,42.03,43.0,,,P2
Male,93.0,29.48,35.0,,,P1
Male,101.0,42.03,40.0,,,P1
Male,87.0,22.75,29.0,,,P1
Male,0.0,0.0,0.0,,,
Male,116.0,75.69,79.0,,,D2
Male,106.5,54.23,56.5,,,M2
Male,99.0,38.7,43.0,,,P1
Male,103.0,45.79,47.0,,,P2
Male,103.5,47.52,58.0,,,M2
Male,97.5,37.14,40.0,,,P1
Male,105.5,51.95,54.5,,,M2
Male,109.0,59.05,58.0,,,M2
Male,96.5,35.31,35.0,,,P1
Male,92.5,29.48,35.0,,,P1
Male,98.5,38.7,45.0,,,P2
Male,93.0,29.48,31.0,,,P1
Male,0.0,0.0,0.0,,,
Male,111.0,63.85,66.0,,,M2
Male,97.0,35.31,40.0,,,P1
Male,0.0,0.0,0.0,,,
Male,105.5,51.95,51.0,,,P2
Male,104.5,49.66,43.0,,,P2
Male,97.5,37.14,43.0,,,P1
Male,0.0,0.0,0.0,,,
Male,116.5,77.86,76.0,,,D2
Male,101.0,42.03,43.0,,,P1
Male,102.0,43.69,43.0,,,P1
Male,101.0,42.03,43.0,,,P1
Male,99.5,40.33,40.0,,,P1
Male,109.0,59.05,58.0,,,M2
Male,113.0,68.91,68.0,,,M2
Male,106.0,51.95,54.5,,,M2
Male,109.5,61.57,59.0,,,M2
Male,0.0,0.0,0.0,,,
Male,95.0,32.46,37.0,,,P1
Male,90.0,26.23,37.0,,,P1
