upn,gender_ap2,french_language_gcse_level_1/2_ap1,french_language_gcse_level_1/2_ap2,french_language_gcse_level_1/2_real
T931412018023,Male,,,
T931252509015,Male,,,
R931321009045,Female,,,
Q931325810006,Female,5.0,4.0,5
N304350709089,Male,,,
U931252710013,Male,,,
H931252710014,Male,,,
R931383816054,Male,,,
R931253116053,Female,7.0,8.0,7
C931253116052,Female,,,
X931412020027,Male,,,
V333218013124,Female,,,
D931325309031,Female,,,
V931101108067,Male,,,
H931101109051,Male,,,
V931252909047,Female,3.0,2.0,3
R931100609011,Female,,,
L931383612038,Female,,,
C931325309038,Male,,,
Q931100609018,Male,,,
H931252209056,Female,,,
U931101008035,Female,,,
W931252109025,Male,,,
R931412017031,Male,,,
Q931100609020,Female,,,
N931100608064,Female,,,
F306200709087,Female,,,
X931252710015,Female,7.0,7.0,7
F931100609041,Male,5.0,5.0,5
R931101109037,Female,,,
F931235210018,Male,7.0,6.0,5
T931252911047,Female,5.0,5.0,5
H931321309010,Male,,,
F931252109004,Male,,,
M931252916068,Female,,,
Y931321110015,Male,,,
C373236909082,Male,,,
V931240110042,Female,3.0,3.0,5
L931412020028,Female,,,
G931383410017,Male,9.0,9.0,9
W931321009038,Male,4.0,3.0,5
N931383610018,Female,7.0,7.0,7
B931252109011,Female,,,
K931259808024,Female,,,
D316209709080,Male,,,
P931325208073,Female,,,
T931252910046,Female,,,
D931252710019,Male,,,
T931252110004,Male,,,
L931321113001,Female,9.0,8.0,9
Z931383214002,Female,8.0,8.0,7
W931383410018,Female,,,
M931321110016,Male,,,
N931252109001,Female,,,
K931325309006,Female,,,
U931383908031,Female,7.0,7.0,8
Q931321008053,Male,,,
V931325309014,Female,,,
E931101109020,Female,,,
X931325208068,Male,4.0,4.0,5
X931252108044,Female,,,
P931252710020,Female,,,
Y931325210014,Female,,,
K931325309035,Male,,,
Z931325309036,Male,,,
W931325309034,Male,,,
Q931101109046,Female,,,
M931321115023,Female,,,
Q931101109017,Female,3.0,,
K931101108059,Male,,,
U931101109021,Male,,,
P931252108047,Female,,,
X886463320016,Male,,,
C931100609037,Male,2.0,2.0,2
A931252108046,Male,,,
K931101109004,Female,8.0,8.0,8
D931252109049,Male,,,
B931101108073,Female,,,
V931100509030,Male,,,
K931383410019,Male,,,
T931100609002,Female,,,
V931101109012,Male,2.0,2.0,2
Y931100509032,Female,,,
U931253114004,Female,,,
X931252211041,Female,,,
W931101109032,Male,,,
T931321112004,Female,,,
Z931101109005,Female,,,
J931384210007,Female,3.0,3.0,3
T931100609031,Male,,,
H931101008036,Male,2.0,1.0,2
Q931252108040,Male,,,
F931100609012,Female,,,
U931321010010,Male,,,
W931100608061,Male,5.0,6.0,4
J931101109013,Female,,,
M931252509029,Female,,,
Z931100609006,Female,6.0,6.0,4
Y931412017035,Male,,,
B931235209044,Male,,,
B931325309020,Male,,,
C931253110015,Male,,,
R931100609009,Female,,,
Q931252909054,Male,4.0,4.0,5
U931252110024,Male,,,
D931100609028,Male,,,
N931325209054,Male,4.0,3.0,3
Y931325210043,Male,,,
F931252509025,Male,,,
W931101108060,Female,5.0,5.0,7
N931240110007,Female,,,
T931100609029,Female,9.0,8.0,9
W931252509017,Male,,,
U931325208066,Female,,,
A931252109020,Male,,,
M931321009023,Female,,,
M931235210024,Female,4.0,4.0,2
N931101109035,Female,,,
G931100609032,Female,,,
A931252110030,Female,5.0,5.0,4
J931101008027,Male,,,
L931101008038,Female,,,
K931412020037,Male,,,
U931101109048,Female,5.0,5.0,U
X890362410035,Female,,,
Q931101008033,Male,,,
C931412020042,Male,,,
V931101109041,Female,2.0,2.0,1
B931400418001,Male,,,
,Male,36739.0,,-0.21
,Male,36739.0,,5.39
,,36739.0,-0.24,-0.21
,,36739.0,-0.24,5.39
,,36739.0,5.36,-0.21
,,36739.0,5.36,5.39
,Male,5.52,,-0.21
,Male,5.52,,5.39
,,5.52,-0.24,-0.21
,,5.52,-0.24,5.39
,,5.52,5.36,-0.21
,,5.52,5.36,5.39
B931103108023,Female,,,
Y931412021048,Male,,,
