upn,fsm_real,sen_real,pp_real,eal_real,ethnicity_code_real,english_literature_ap1,english_literature_ap2,english_literature_real
A931383611011,,,,,,,U,
F931252711004,F,N,F,F,ofil,7,7,6
Z931252110037,F,N,F,F,wbri,4,4,4
C931321111011,F,E,F,F,wbri,2,2,2
E931240111051,F,N,F,T,woth,5,5,5
W931383811013,F,N,F,F,wbri,3,3,2
W931252511001,F,N,F,F,wbri,7,7,7
R931321111012,F,N,F,F,wbri,6,5,5
L931252510019,F,N,F,T,mwba,4,5,5
W931252111036,T,N,T,T,moth,3,5,6
Y203224211066,F,N,F,F,mwba,5,6,6
C931252509052,T,N,T,T,bafr,4,4,3
D931205815046,F,N,F,F,oara,7,7,7
V931240111014,F,N,F,T,woth,7,7,6
R931101109066,F,N,F,T,aoth,7,7,5
Z931383811015,F,N,F,F,wbri,6,7,7
J931252711006,F,N,F,F,wbri,8,8,8
A931383611038,F,N,F,F,wbri,4,6,7
Z931412020011,F,N,F,F,woth,3,3,3
Q931100609076,F,N,F,F,wbri,6,6,6
H931383411009,F,N,F,F,wbri,6,7,8
K931412020008,F,N,F,T,both,1,3,3
T931252111034,T,N,T,F,wbri,2,4,2
M931100510014,F,N,F,F,wbri,4,5,4
M931252109066,F,N,T,F,wbri,1,4,1
P931100610010,F,N,F,F,wbri,4,5,6
D931100610009,F,N,F,F,wbri,7,7,7
X931252714050,F,N,F,T,woth,5,7,6
M931252711008,F,N,F,F,wbri,5,6,4
E931324311001,F,N,T,F,wbri,,U,
U931412022027,F,N,F,T,aind,3,4,6
T931414519094,T,N,T,T,moth,3,1,U
K931101110014,T,K,T,F,wbri,3,3,1
Z931101110015,F,K,F,F,wbri,4,4,6
E931252711013,F,N,F,F,wbri,7,7,6
H931252716051,T,N,T,F,aind,3,3,3
F931321611017,F,N,F,F,wbri,U,U,
T931100610012,F,N,F,F,wbri,7,6,8
F931101109067,F,N,F,T,okrd,7,6,5
J931261211022,F,K,F,F,wbri,4,4,6
B931100609075,F,N,F,T,woth,4,6,7
V931100609071,F,N,F,F,mwas,4,5,5
F931101110019,T,N,T,F,mwas,2,3,2
N211237810008,T,N,T,T,bafr,8,9,9
K931252511002,F,N,F,T,aoth,2,2,3
W210350812010,F,N,T,F,wbri,3,4,4
Q931252109070,F,N,F,T,woth,4,6,5
X931100609053,F,N,F,F,wbri,8,8,7
V931253909052,T,N,T,F,moth,6,6,5
Y931321111016,F,N,F,F,wbri,5,4,4
W931100610014,T,N,T,F,moth,4,4,4
D931321113004,F,N,F,F,wbri,8,8,8
X931259310019,T,K,T,F,wbri,4,4,4
J931321010029,,,,,,,U,
F931100511011,F,N,F,F,wbri,7,8,9
V931321611018,F,N,T,F,wbri,3,2,2
K931412018026,F,N,F,T,aban,8,8,7
E931100609077,F,N,F,F,wbri,4,5,3
B931100610027,F,K,F,F,wbri,3,5,4
R931254310045,,,,,,U,U,
U931252509035,T,N,T,T,apkn,3,3,2
R330213814100,T,N,T,T,bsud,5,5,5
N931383611019,F,N,F,F,ooth,3,4,3
Z931259310003,F,N,T,F,mwba,6,5,5
E931412022026,F,N,F,F,apkn,1,U,5
N931325310018,T,K,T,F,wbri,3,4,
Q931414519083,F,N,F,T,aoth,3,3,2
G355350409042,F,N,F,T,aind,4,4,6
P931252111032,F,K,F,T,aoth,3,3,4
N931100610017,F,N,F,F,wbri,5,5,6
M931101109073,,,,,,U,U,
C931100610020,F,K,F,F,wbri,4,4,4
U931259309065,F,K,F,F,bafr,3,3,3
T931252517034,F,N,F,T,woth,4,4,5
W931260609100,F,N,F,T,bafr,5,6,4
R931383210028,T,E,T,F,wbri,3,2,1
L931100510023,F,N,F,F,wbri,8,9,9
Y931261210051,T,K,T,F,wbri,3,3,2
R931252110013,F,N,F,F,wbri,U,U,1
M931101110025,T,N,T,F,apkn,4,3,3
Y931252111018,F,N,F,F,bafr,3,3,3
C931383611022,F,N,F,F,bafr,4,4,5
T931252110062,T,K,T,F,wbri,,,
N931412020012,F,N,F,F,nobt,7,8,8
C931321009073,F,N,T,T,woth,4,6,6
R931325310051,F,K,T,T,woth,3,1,2
F931100610051,F,K,F,T,woth,1,U,5
Z931412021041,T,N,T,T,bafr,3,3,5
G931412019025,F,N,F,F,chkc,7,7,8
H878261811006,T,K,T,F,wbri,3,2,1
L931321611032,F,K,F,F,wbri,4,4,3
P931100510025,F,N,F,F,wbri,7,7,8
L931260610077,,,,,,,U,
B931383411005,F,N,F,F,wbri,3,6,4
R931412022016,F,N,F,F,wbri,5,6,5
V931412021046,F,N,F,T,okrd,2,2,2
W931100510031,F,E,F,F,woth,3,3,2
Z931321012025,F,N,F,F,apkn,2,4,6
L931252111030,F,N,F,F,wbri,3,3,2
E931101110028,F,N,F,T,woth,3,3,3
A931252111031,,,,,,,U,
U931101110029,T,N,T,F,both,5,6,5
P931386115052,F,K,T,F,bafr,3,2,2
B931101010014,F,N,F,F,wbri,6,7,6
W931321011051,F,N,F,F,aind,2,2,1
Y931325209062,F,N,F,F,wbri,3,3,1
G931252110005,T,K,T,F,mwas,,,
N931383311012,F,N,F,F,mwba,3,3,3
H931258911005,F,K,F,F,aoth,2,1,U
C931321310005,T,K,T,F,wbri,U,,
Z203222811011,F,N,F,F,refu,4,6,5
A931252711018,T,K,T,F,wbri,2,3,2
Q931101010015,T,N,T,F,aban,4,4,3
L931411618003,F,N,F,T,woth,3,4,5
H931253110030,T,N,T,F,wbri,2,1,2
Q931100610030,F,N,F,F,woth,8,7,7
E931414520036,F,N,F,F,bsud,4,4,4
B931412019012,T,N,T,F,ooth,7,6,7
K931100510032,F,N,F,T,bafr,4,4,2
Z931321113009,F,N,F,F,moth,4,5,5
V931100610023,F,N,F,F,wbri,3,4,5
H931252911041,F,N,F,F,wbri,8,8,6
T931254310007,F,N,F,T,bafr,3,4,4
F931259310036,T,N,T,T,bafr,3,2,5
C931100509054,F,K,F,F,apkn,4,2,3
A931101110035,F,N,F,F,mwas,5,4,6
W931201516056,T,N,T,T,ooth,2,1,1
J931321010031,F,N,F,T,aind,5,6,4
X931261211032,F,N,F,F,apkn,3,4,3
N931253911030,F,N,F,T,oafg,5,7,5
G931252113008,F,N,F,T,woth,3,3,3
E931101110057,T,N,T,T,bafr,6,8,8
J931383811023,F,N,F,F,wiri,7,7,8
E931258911003,T,N,T,F,mwba,5,6,6
M931383611001,F,N,F,F,mwai,7,7,9
M931383811025,F,N,F,F,mwbc,3,7,6
D931259309044,F,N,F,T,ooth,U,1,U
J931252911003,F,N,F,T,bafr,4,5,4
D931101110037,F,N,F,F,wiri,4,4,5
R931325210037,F,N,F,F,bafr,4,5,4
H931100610033,F,N,F,F,mwas,7,7,7
A931252111029,F,N,F,F,wbri,3,5,5
T931101110038,F,N,F,F,nobt,3,2,1
G931383614018,F,N,F,F,ooth,4,4,5
L302202811022,F,K,F,F,wbri,6,8,7
A931321611004,F,N,F,F,wbri,6,8,6
Y931100610025,F,K,F,F,moth,4,5,5
F931412020044,F,N,F,F,woth,5,5,5
E931100609048,F,N,F,F,wbri,4,6,6
K931253909044,F,N,T,F,mwbc,3,6,5
M931321010033,T,K,T,F,wbri,1,U,U
Q931412022025,F,N,F,T,aoth,2,4,6
R211255710009,F,N,T,T,aban,6,6,6
Z316209709137,F,N,F,T,aoth,6,6,5
A931412020031,F,N,F,T,aind,6,6,8
H931412022028,F,N,F,T,woth,U,U,
G931101110041,T,N,T,F,wbri,5,5,4
G931412021007,F,N,F,F,wbri,8,8,6
V931412021017,F,N,F,F,aoth,3,3,4
Q931321111021,F,N,F,F,wbri,7,8,8
W931101110013,F,N,F,T,apkn,6,7,5
G931412021036,F,N,F,T,aind,4,5,6
E931100510046,F,N,F,F,woth,7,8,7
H886463320015,F,N,F,F,oegy,7,7,7
G931252910020,F,N,F,F,aind,6,7,6
X931252515054,F,N,F,T,mwbc,4,4,6
K931101110043,F,N,F,T,aind,6,7,6
X931254309077,F,N,F,T,apkn,3,5,5
K931252510030,T,N,T,T,mwas,5,5,4
J931101109069,F,N,F,F,apkn,6,7,7
U931325310033,F,N,F,F,apkn,U,U,U
B931325210016,F,N,F,T,apkn,4,4,6
V931240111043,,,,,,U,U,
U931100510047,F,N,F,F,mwas,U,4,X
R931383511040,F,N,F,F,bcrb,5,6,5
H931259410003,F,N,T,F,wbri,3,U,X
D931252509043,F,K,F,F,aban,3,4,3
V931100609069,F,K,F,F,wbri,U,U,1
J331343616034,F,N,F,F,wbri,4,5,5
Q931261210054,F,N,F,F,bafr,3,4,3
N931252715063,F,N,F,T,woth,7,7,7
C931101110046,F,N,F,T,aoth,5,6,5
W931252711025,F,K,F,F,mwas,9,9,6
B931321112019,F,N,F,F,wbri,6,7,7
M931100609074,F,N,F,F,wbri,7,9,7
W931252110035,T,N,T,F,wbri,4,4,3
V931321311009,F,N,F,T,woth,7,7,6
P931100610037,F,N,F,F,woth,8,8,9
T931100610039,F,N,F,T,mwbc,6,6,7
L931235210033,F,N,F,F,nobt,6,7,6
Z931252510058,F,K,T,F,woth,4,4,2
G931100610042,F,N,F,F,wbri,7,7,8
D931100610040,F,N,F,F,wbri,6,7,9
K931252711026,F,N,F,F,wbri,8,8,8
W931318811010,F,N,F,F,nobt,3,4,3
J931101110052,F,N,F,F,ofil,5,6,6
K931252910022,T,N,T,F,wbri,2,4,3
A931100510053,F,N,F,F,wbri,6,7,6
G931252914082,F,E,F,T,aind,3,2,1
X931252111027,F,N,F,F,wbri,3,3,1
U208257811003,F,N,F,F,wbri,5,6,6
R931261210045,F,N,F,F,wbri,5,6,5
K931100510059,F,N,F,F,wbri,9,9,9
Z931252711027,T,E,T,F,wbri,,U,
J931101010040,F,N,F,F,wbri,9,9,8
K931100510061,F,N,F,F,wbri,6,7,6
D931412020033,F,N,F,F,wbri,3,4,5
N931252711028,F,N,F,T,apkn,3,5,6
G931252110034,F,N,F,T,aoth,2,1,1
E931252109069,T,N,T,T,apkn,6,6,5
M931101110054,F,N,F,T,woth,4,3,2
B931101110055,F,N,F,F,bafr,3,3,2
D931383811037,F,K,F,T,aoth,5,5,7
N931321611014,,,,,,,,
