upn,gender_ap2,fsm_real,sen_real,pp_real,eal_real,ethnicity_code_real,physics_ap1,physics_ap2,physics_real
E931259306032,Female,F,K,T,F,wbri,,,
H931100606018,Female,F,N,F,F,wbri,7.0,6,6
E931100506033,Female,F,N,F,F,wbri,7.0,8,8
W931383407006,Female,F,N,F,F,wbri,,,
N931254305056,Male,F,N,F,F,woth,,,
U931252106040,Female,F,N,F,F,wbri,7.0,5,5
U931321107008,Male,F,N,F,F,wbri,8.0,9,9
W931412016023,Female,T,N,T,F,aoth,,,
X931412016014,Male,F,N,F,F,aoth,6.0,6,6
F676234105014,Male,F,N,F,F,aind,8.0,8,8
W931252106022,Male,F,N,T,F,mwbc,,,
A931412014043,Male,F,N,F,F,wbri,5.0,9,9
N931101006020,Male,F,N,F,F,apkn,,,
M931325205057,Female,T,N,T,F,woth,6.0,5,5
A931383807022,Female,F,N,F,F,wbri,,,
G931100506044,Male,F,K,T,F,wbri,8.0,8,8
N931258912019,Male,F,N,F,F,aoth,,,
F931100605064,Female,F,N,F,F,wbri,7.0,8,8
D931100606054,Male,F,N,F,F,moth,9.0,9,9
Q931235206013,Female,F,N,T,F,wbri,,,
J931252111046,Female,F,N,F,F,aind,5.0,4,4
N931383807032,Male,F,N,F,F,wbri,4.0,U,U
N931383807032,Male,F,N,F,F,wbri,4.0,U,6
N931383807032,Male,F,N,F,F,wbri,4.0,6,U
N931383807032,Male,F,N,F,F,wbri,4.0,6,6
N931383807032,Male,F,N,F,F,wbri,6.0,U,U
N931383807032,Male,F,N,F,F,wbri,6.0,U,6
N931383807032,Male,F,N,F,F,wbri,6.0,6,U
N931383807032,Male,F,N,F,F,wbri,6.0,6,6
V845215406046,Male,F,N,F,F,woth,,,
A931412017046,Male,F,N,F,F,both,,,
P931101006038,Female,F,N,F,F,mwas,5.0,5,5
J931252106061,Male,F,N,F,F,wbri,,,
G931259306014,Female,F,N,F,F,wbri,,,
C931100606034,Male,F,N,F,F,wbri,9.0,8,8
K931100606031,Male,F,N,F,F,wiri,8.0,7,7
D931252107018,Male,T,N,F,F,wbri,5.0,2,2
C931100507023,Female,F,N,F,F,wbri,8.0,8,8
T931252106020,Female,T,N,T,F,moth,,,
H931321107009,Female,F,N,F,F,wbri,,,
P931383807023,Female,F,N,F,F,wbri,,,
H208102705053,Female,F,N,F,F,wbri,8.0,6,6
X931261206016,Female,T,N,T,F,wbri,4.0,3,3
V931412014001,Female,F,N,F,F,aind,,,
P931252707006,Female,F,N,F,F,wbri,,,
N931100507022,Female,F,N,F,F,refu,9.0,9,9
A931100506011,Female,F,N,F,F,wbri,9.0,9,9
V931252707021,Male,F,N,F,F,wbri,6.0,5,5
J931101106037,Female,F,N,F,F,ofil,5.0,4,4
G307217406036,Male,F,N,F,F,aoth,7.0,5,5
W931100606030,Female,F,N,F,F,wbri,,,
G931325305056,Female,F,E,F,F,wbri,,,
B931101106013,Male,T,N,T,F,wbri,,,
K931325206020,Female,F,K,F,F,wbri,7.0,6,6
N931252106025,Female,F,N,F,F,woth,,,
D931254307023,Male,F,N,F,F,wbri,1.0,,
U931252106067,Female,F,N,T,F,mwbc,,,
B931100506029,Female,F,N,F,F,wbri,6.0,8,8
W206364307011,Male,F,N,F,F,woth,4.0,4,4
E931325206092,Female,F,N,F,F,wbri,,,
U931325206093,Female,F,N,F,F,wbri,,,
W931100606028,Female,F,N,F,F,wbri,,,
H312201906096,Female,F,N,F,F,moth,4.0,3,3
Q931100506003,Female,F,N,F,F,wbri,6.0,6,6
C931325306035,Male,T,N,T,F,mwas,,,
R931325205052,Female,F,N,F,F,aban,,,
D931260606040,Female,F,N,T,F,woth,,,
H931101106046,Female,F,N,F,F,apkn,,,
N931259306047,Female,F,N,F,F,ooth,,,
N931259306047,Female,F,N,F,F,ooth,,,
N931259306047,Female,F,N,F,F,ooth,,,
N931259306047,Female,F,N,F,F,ooth,,,
N931259306047,Female,F,N,F,F,ooth,,,
N931259306047,Female,F,N,F,F,ooth,,,
N931259306047,Female,F,N,F,F,ooth,,,
N931259306047,Female,F,N,F,F,ooth,,,
X931253107017,Female,T,N,T,F,aban,5.0,4,4
A931252506007,Male,F,N,F,F,aban,8.0,8,8
E931260606029,Male,F,N,F,F,woth,,,
Z931321007011,Male,F,N,F,F,mwas,7.0,9,9
D931100606025,Female,F,N,F,F,wbri,,,
R931252108058,Female,F,N,F,F,aind,7.0,6,6
N931101105058,Female,T,N,T,F,wbri,,,
M931100506030,Female,F,N,F,F,aind,5.0,6,6
G931246107013,Male,F,N,F,F,aind,6.0,6,6
J931259306025,Female,T,N,T,F,wbri,,,
K931101106028,Male,F,N,T,F,wbri,,,
L931259306036,Male,F,N,F,F,bafr,,,
Y931101106009,Male,F,N,T,F,wbri,8.0,8,8
T931252206032,Male,T,N,T,F,bafr,,,
M931252106034,Female,F,N,T,F,mwas,,,
C931101106033,Male,F,N,T,F,aban,,,
Q931258913004,Male,F,N,F,F,ooth,8.0,7,7
T931321006062,Female,F,N,T,F,woth,5.0,4,4
D931252109080,Female,F,N,F,F,ofil,4.0,3,3
Z931383906013,Female,F,N,T,F,mwba,,,
B931252106035,Male,F,N,F,F,wbri,,,
K931100506046,Female,F,N,F,F,wbri,6.0,6,6
A931383312003,Female,T,N,T,F,woth,,,
K931100605057,Female,F,N,F,F,bcrb,,,
H931252906025,Female,F,N,F,F,wbri,,,
R931252106027,Female,F,N,F,F,wbri,,,
Q931252106036,Male,F,N,T,F,wbri,,,
E931101106015,Male,F,N,F,F,aoth,6.0,6,6
E931252107009,Male,F,K,F,F,aoth,,,
Y931101106038,Male,F,N,F,F,bafr,,,
W931101107030,Female,F,N,F,F,mwas,5.0,5,5
W931260606043,Female,T,N,T,F,mwas,,,
E931100605015,Male,F,N,F,F,wbri,7.0,9,9
F931252106028,Male,F,N,T,F,wirt,,,
A931252507008,Male,F,N,T,F,wbri,,,
Z931100507021,Female,F,N,F,F,wbri,7.0,6,6
N931100606033,Female,F,N,F,F,wbri,4.0,4,4
J800310207027,Male,F,N,F,F,nobt,,,
G931100506015,Female,F,N,F,F,wbri,6.0,5,5
R931101106005,Male,F,N,T,F,both,,,
L931252107073,Male,T,N,T,F,wbri,,,
B931383807013,Female,F,N,F,F,wbri,8.0,7,7
J931252505052,Male,F,N,F,F,apkn,,,
L931100506010,Female,F,N,F,F,apkn,,,
T931321006033,Female,F,N,F,F,aind,,,
L931252505034,Female,F,N,F,F,apkn,,,
E931252106010,Female,F,N,F,F,mwba,,,
Q931101106043,Male,F,N,T,F,wbri,,,
N931101106032,Male,F,N,F,F,wbri,9.0,9,9
E931383807015,Male,F,N,F,F,wiri,6.0,5,5
V931254306034,Male,F,N,F,F,wbri,,,
A304400114171,Male,F,N,F,F,mwba,,,
V931252106029,Female,F,N,F,F,wbri,,,
D931252707007,Male,F,K,F,F,wbri,,,
X931321107012,Male,F,N,F,F,wbri,6.0,7,7
Y931101106040,Female,F,N,F,F,mwba,5.0,5,5
A931100606023,Female,F,N,F,F,wbri,9.0,9,9
E931252106037,Male,T,N,T,F,wbri,,,
L931252506035,Female,F,N,T,F,mwbc,,,
L931321107013,Male,F,N,F,F,aind,7.0,7,7
M931252912006,Female,F,N,F,F,aind,6.0,6,6
Q931100605043,Male,F,N,F,F,wbri,6.0,6,6
A931321107014,Female,F,N,T,F,wbri,4.0,5,5
V931325307012,Female,F,N,F,F,wbri,6.0,6,6
X931253906029,Female,F,N,F,F,wbri,7.0,7,7
X931100605047,Male,F,N,F,F,wbri,,,
U931101106045,Male,F,N,T,F,wbri,,,
G931383906010,Male,T,N,T,F,wbri,,,
L931100606022,Male,F,N,F,F,aoth,7.0,7,7
J931100606011,Male,T,K,T,F,wbri,5.0,4,4
B931100506031,Male,F,N,F,F,wbri,5.0,6,6
P931321107015,Female,F,N,F,F,wbri,7.0,8,8
G93132110702A,Female,T,N,T,F,mwbc,4.0,4,4
N931100606004,Male,F,N,T,F,wbri,,,
T928222007041,Male,F,N,F,F,aind,6.0,8,8
T931101106025,Male,F,N,F,F,apkn,,,
A931101106022,Female,F,K,F,F,apkn,,,
L931101105047,Female,F,N,F,F,mwas,6.0,6,6
N931252707015,Female,F,K,F,F,wbri,6.0,4,4
Y931254307008,Male,T,N,T,F,apkn,,,
Z931252707014,Female,F,N,F,F,wbri,6.0,8,8
A931252106044,Male,F,N,F,F,wbri,,,
R931100506023,Male,F,N,F,F,wbri,8.0,8,8
B931101006001,Female,F,N,F,F,woth,9.0,9,9
H931252211040,Male,F,N,F,F,ooth,,,
V931412016032,Female,F,N,F,F,mwba,,,
R931383407013,Female,F,N,F,F,wbri,6.0,5,5
P931258907025,Male,F,N,F,F,wbri,,,
F931383407014,Male,F,N,F,F,wbri,,,
N931100605061,Female,F,N,F,F,wbri,7.0,6,6
W931252106078,Male,F,N,F,F,wbri,,,
J931100606009,Male,F,N,F,F,wbri,8.0,8,8
G931412014018,Female,F,N,T,F,woth,,,
A931316507029,Male,T,N,T,F,wbri,5.0,5,5
L931325205066,Male,F,N,F,F,moth,6.0,6,6
U850262306029,Female,F,N,F,F,aoth,7.0,8,8
K931100606029,Female,F,N,F,F,woth,8.0,7,7
H931240107011,Male,F,N,F,F,wbri,,,
H931259306063,Male,T,N,T,F,wbri,,,
C931101106004,Female,F,K,F,F,wbri,,,
J931100606040,Male,F,N,F,F,wbri,5.0,5,5
Q931252906022,Male,F,N,F,F,wbri,4.0,3,3
X931101106047,Female,F,N,T,F,wbri,,,
E931252108068,Female,F,N,F,F,both,5.0,5,5
F931383607038,Female,F,K,F,F,mwbc,,,
F931252707018,Male,F,N,F,F,wbri,6.0,5,5
A931100605051,Male,F,N,F,F,apkn,,,
G931252707011,Female,F,N,F,F,mwbc,,,
P931252506008,Male,F,N,F,F,wbri,8.0,9,9
C931100506049,Male,F,N,F,F,apkn,,,
Q931252107037,Male,F,N,F,F,aoth,,,
A931253107019,Male,F,N,F,F,woth,,,
U931252510074,Male,F,N,F,F,nobt,,,
