upn,gender_ap2,fsm_real,sen_real,pp_real,eal_real,ethnicity_code_real,dob_real,post_code_real,spanish_ap1,spanish_ap2,spanish_real,fft
M931325205057,,T,N,T,F,woth,10.0,OX4,6.0,,6.0,6.0
A931383807022,,F,N,F,F,wbri,6.0,OX3,2.0,,3.0,4.0
G931100506044,,F,K,T,F,wbri,6.0,OX3,,,,
N931258912019,,F,N,F,F,aoth,12.0,OX3,7.0,,5.0,4.0
F931100605064,,F,N,F,F,wbri,2.0,OX3,,,,
D931100606054,,F,N,F,F,moth,5.0,OX3,,,,
Q931235206013,,F,N,T,F,wbri,9.0,OX3,,,,
J931252111046,,F,N,F,F,aind,11.0,OX3,,,,
N931383807032,,F,N,F,F,wbri,6.0,OX3,,,,
N931383807032,,F,N,F,F,wbri,6.0,OX3,,,,
N931383807032,,F,N,F,F,wbri,6.0,OX3,,,,
N931383807032,,F,N,F,F,wbri,6.0,OX3,,,,
N931383807032,,F,N,F,F,wbri,6.0,OX3,,,,
N931383807032,,F,N,F,F,wbri,6.0,OX3,,,,
N931383807032,,F,N,F,F,wbri,6.0,OX3,,,,
N931383807032,,F,N,F,F,wbri,6.0,OX3,,,,
V845215406046,,F,N,F,F,woth,6.0,OX3,8.0,,6.0,3.0
A931412017046,,F,N,F,F,both,3.0,OX3,,,,
P931101006038,,F,N,F,F,mwas,8.0,OX1,,,,
J931252106061,,F,N,F,F,wbri,3.0,OX3,,,,
G931259306014,,F,N,F,F,wbri,11.0,OX3,,,,
C931100606034,,F,N,F,F,wbri,4.0,OX3,,,,
K931100606031,,F,N,F,F,wiri,6.0,OX3,,,,
D931252107018,,T,N,F,F,wbri,12.0,OX3,,,,
C931100507023,,F,N,F,F,wbri,11.0,OX3,9.0,,9.0,8.0
T931252106020,,T,N,T,F,moth,1.0,OX3,3.0,,2.0,4.0
H931321107009,,F,N,F,F,wbri,10.0,OX3,7.0,,4.0,5.0
P931383807023,,F,N,F,F,wbri,8.0,OX3,,,,
H208102705053,,F,N,F,F,wbri,10.0,OX3,,,,
X931261206016,,T,N,T,F,wbri,3.0,OX3,5.0,,4.0,6.0
V931412014001,,F,N,F,F,aind,7.0,OX3,,,,
P931252707006,,F,N,F,F,wbri,9.0,OX3,,,,
N931100507022,,F,N,F,F,refu,12.0,OX3,,,,
A931100506011,,F,N,F,F,wbri,4.0,OX3,,,,
V931252707021,,F,N,F,F,wbri,3.0,OX3,3.0,,3.0,5.0
J931101106037,,F,N,F,F,ofil,10.0,OX3,6.0,,4.0,4.0
G307217406036,,F,N,F,F,aoth,9.0,OX3,,,,
W931100606030,,F,N,F,F,wbri,5.0,OX4,,,,
G931325305056,,F,E,F,F,wbri,8.0,OX3,,,,
B931101106013,,T,N,T,F,wbri,11.0,OX3,,,,
K931325206020,,F,K,F,F,wbri,1.0,OX3,,,,
N931252106025,,F,N,F,F,woth,9.0,OX3,,,,
U931252106067,,F,N,T,F,mwbc,5.0,OX3,,,,
B931100506029,,F,N,F,F,wbri,11.0,OX3,,,,
W206364307011,,F,N,F,F,woth,6.0,OX3,,,,
E931325206092,,F,N,F,F,wbri,1.0,OX3,3.0,,3.0,4.0
U931325206093,,F,N,F,F,wbri,1.0,OX3,3.0,,3.0,6.0
W931100606028,,F,N,F,F,wbri,4.0,OX3,,,,
H312201906096,,F,N,F,F,moth,6.0,OX3,,,,
Q931100506003,,F,N,F,F,wbri,2.0,OX3,,,,
C931325306035,,T,N,T,F,mwas,3.0,OX4,,,,
R931325205052,,F,N,F,F,aban,9.0,OX4,,,,
D931260606040,,F,N,T,F,woth,7.0,OX3,,,,
H931101106046,,F,N,F,F,apkn,10.0,OX3,3.0,,3.0,4.0
N931259306047,,F,N,F,F,ooth,8.0,OX3,,,,
N931259306047,,F,N,F,F,ooth,8.0,OX3,,,,
N931259306047,,F,N,F,F,ooth,8.0,OX3,,,,
N931259306047,,F,N,F,F,ooth,8.0,OX3,,,,
N931259306047,,F,N,F,F,ooth,8.0,OX3,,,,
N931259306047,,F,N,F,F,ooth,8.0,OX3,,,,
N931259306047,,F,N,F,F,ooth,8.0,OX3,,,,
N931259306047,,F,N,F,F,ooth,8.0,OX3,,,,
X931253107017,,T,N,T,F,aban,2.0,OX3,3.0,,2.0,4.0
A931252506007,,F,N,F,F,aban,3.0,OX3,,,,
E931260606029,,F,N,F,F,woth,11.0,OX3,,,,
Z931321007011,,F,N,F,F,mwas,12.0,OX3,9.0,,9.0,7.0
D931100606025,,F,N,F,F,wbri,5.0,OX3,,,,
R931252108058,,F,N,F,F,aind,2.0,OX3,,,,
N931101105058,,T,N,T,F,wbri,9.0,OX3,,,,
M931100506030,,F,N,F,F,aind,11.0,OX4,6.0,,6.0,6.0
G931246107013,,F,N,F,F,aind,9.0,OX3,,,,
J931259306025,,T,N,T,F,wbri,12.0,OX3,,,,
K931101106028,,F,N,T,F,wbri,12.0,OX3,,,,
L931259306036,,F,N,F,F,bafr,4.0,OX3,,,,
Y931101106009,,F,N,T,F,wbri,10.0,OX3,7.0,,7.0,7.0
T931252206032,,T,N,T,F,bafr,7.0,OX4,,,,
M931252106034,,F,N,T,F,mwas,4.0,OX3,,,,
C931101106033,,F,N,T,F,aban,1.0,OX3,,,,
Q931258913004,,F,N,F,F,ooth,12.0,OX3,,,,
T931321006062,,F,N,T,F,woth,2.0,OX3,,,,
D931252109080,,F,N,F,F,ofil,6.0,OX3,,,,
Z931383906013,,F,N,T,F,mwba,2.0,OX3,,,,
B931252106035,,F,N,F,F,wbri,1.0,OX3,,,,
K931100506046,,F,N,F,F,wbri,9.0,OX3,8.0,,5.0,6.0
A931383312003,,T,N,T,F,woth,4.0,OX14,,,,
K931100605057,,F,N,F,F,bcrb,2.0,OX3,4.0,,3.0,5.0
H931252906025,,F,N,F,F,wbri,6.0,OX3,,,,
R931252106027,,F,N,F,F,wbri,7.0,OX3,7.0,,5.0,6.0
Q931252106036,,F,N,T,F,wbri,7.0,OX3,,,,
E931101106015,,F,N,F,F,aoth,4.0,OX3,8.0,,7.0,6.0
E931252107009,,F,K,F,F,aoth,8.0,OX3,,,,
Y931101106038,,F,N,F,F,bafr,11.0,OX1,,,,
W931101107030,,F,N,F,F,mwas,7.0,OX3,,,,
W931260606043,,T,N,T,F,mwas,7.0,OX3,,,,
E931100605015,,F,N,F,F,wbri,9.0,OX3,8.0,,6.0,6.0
F931252106028,,F,N,T,F,wirt,12.0,OX3,,,,
A931252507008,,F,N,T,F,wbri,7.0,OX4,,,,
Z931100507021,,F,N,F,F,wbri,11.0,OX4,,,,
N931100606033,,F,N,F,F,wbri,3.0,OX3,,,,
J800310207027,,F,N,F,F,nobt,7.0,OX3,,,,
G931100506015,,F,N,F,F,wbri,5.0,OX3,,,,
R931101106005,,F,N,T,F,both,3.0,OX3,4.0,,2.0,4.0
L931252107073,,T,N,T,F,wbri,7.0,OX3,,,,
B931383807013,,F,N,F,F,wbri,2.0,OX3,,,,
J931252505052,,F,N,F,F,apkn,1.0,OX4,,,,
L931100506010,,F,N,F,F,apkn,10.0,OX3,,,,
T931321006033,,F,N,F,F,aind,6.0,OX4,4.0,,3.0,4.0
L931252505034,,F,N,F,F,apkn,9.0,OX4,4.0,,3.0,4.0
E931252106010,,F,N,F,F,mwba,12.0,OX3,,,,
Q931101106043,,F,N,T,F,wbri,11.0,OX3,,,,
N931101106032,,F,N,F,F,wbri,10.0,OX3,,,,
E931383807015,,F,N,F,F,wiri,1.0,OX3,6.0,,5.0,5.0
V931254306034,,F,N,F,F,wbri,12.0,OX3,,,,
A304400114171,,F,N,F,F,mwba,11.0,OX3,2.0,,3.0,
V931252106029,,F,N,F,F,wbri,7.0,OX4,,,,
D931252707007,,F,K,F,F,wbri,3.0,OX3,,,,
X931321107012,,F,N,F,F,wbri,11.0,OX3,,,,
Y931101106040,,F,N,F,F,mwba,8.0,OX3,5.0,,4.0,5.0
A931100606023,,F,N,F,F,wbri,5.0,OX3,,,,
E931252106037,,T,N,T,F,wbri,6.0,OX3,,,,
L931252506035,,F,N,T,F,mwbc,8.0,OX3,,,,
L931321107013,,F,N,F,F,aind,9.0,OX3,8.0,,5.0,6.0
M931252912006,,F,N,F,F,aind,10.0,OX3,,,,
Q931100605043,,F,N,F,F,wbri,9.0,OX3,6.0,,4.0,5.0
A931321107014,,F,N,T,F,wbri,9.0,OX3,,,,
V931325307012,,F,N,F,F,wbri,6.0,OX3,8.0,,6.0,6.0
X931253906029,,F,N,F,F,wbri,5.0,OX3,,,,
X931100605047,,F,N,F,F,wbri,12.0,OX3,,,,
U931101106045,,F,N,T,F,wbri,4.0,OX3,,,,
G931383906010,,T,N,T,F,wbri,12.0,OX3,5.0,,4.0,3.0
L931100606022,,F,N,F,F,aoth,11.0,OX3,,,,
J931100606011,,T,K,T,F,wbri,10.0,OX3,6.0,,5.0,4.0
B931100506031,,F,N,F,F,wbri,12.0,OX4,8.0,,7.0,8.0
P931321107015,,F,N,F,F,wbri,10.0,OX3,,,,
G93132110702A,,T,N,T,F,mwbc,12.0,OX3,,,,
N931100606004,,F,N,T,F,wbri,3.0,OX3,,,,
T928222007041,,F,N,F,F,aind,3.0,OX3,8.0,,5.0,5.0
T931101106025,,F,N,F,F,apkn,5.0,OX3,9.0,,8.0,5.0
A931101106022,,F,K,F,F,apkn,8.0,OX3,5.0,,5.0,4.0
L931101105047,,F,N,F,F,mwas,9.0,OX3,,,,
N931252707015,,F,K,F,F,wbri,5.0,OX3,,,,
Y931254307008,,T,N,T,F,apkn,3.0,OX3,6.0,,5.0,4.0
Z931252707014,,F,N,F,F,wbri,3.0,OX3,,,,
A931252106044,,F,N,F,F,wbri,6.0,OX3,,,,
R931100506023,,F,N,F,F,wbri,1.0,OX3,,,,
B931101006001,,F,N,F,F,woth,9.0,OX3,9.0,,9.0,8.0
H931252211040,,F,N,F,F,ooth,5.0,OX4,,,,
V931412016032,,F,N,F,F,mwba,5.0,OX3,,,,
R931383407013,,F,N,F,F,wbri,5.0,OX4,,,,
P931258907025,,F,N,F,F,wbri,4.0,OX3,,,,
F931383407014,,F,N,F,F,wbri,4.0,OX3,,,,
N931100605061,,F,N,F,F,wbri,10.0,OX3,6.0,,6.0,8.0
W931252106078,,F,N,F,F,wbri,3.0,OX3,,,,
J931100606009,,F,N,F,F,wbri,11.0,OX3,9.0,,8.0,7.0
G931412014018,,F,N,T,F,woth,10.0,OX4,,,,
A931316507029,,T,N,T,F,wbri,2.0,OX3,,,,
L931325205066,,F,N,F,F,moth,9.0,OX3,,,,
U850262306029,,F,N,F,F,aoth,8.0,OX3,8.0,,7.0,7.0
K931100606029,,F,N,F,F,woth,2.0,OX3,,,,
H931240107011,,F,N,F,F,wbri,8.0,OX3,,,,
H931259306063,,T,N,T,F,wbri,9.0,OX4,,,,
C931101106004,,F,K,F,F,wbri,5.0,OX3,6.0,,3.0,4.0
J931100606040,,F,N,F,F,wbri,5.0,OX3,,,,
Q931252906022,,F,N,F,F,wbri,5.0,OX3,,,,
X931101106047,,F,N,T,F,wbri,7.0,OX3,,,,
E931252108068,,F,N,F,F,both,11.0,OX4,,,,
F931383607038,,F,K,F,F,mwbc,6.0,OX3,,,,
F931252707018,,F,N,F,F,wbri,1.0,OX3,6.0,,4.0,4.0
A931100605051,,F,N,F,F,apkn,12.0,OX3,,,,
G931252707011,,F,N,F,F,mwbc,5.0,OX3,,,,
P931252506008,,F,N,F,F,wbri,12.0,OX3,,,,
C931100506049,,F,N,F,F,apkn,3.0,OX4,,,,
Q931252107037,,F,N,F,F,aoth,5.0,OX3,,,,
A931253107019,,F,N,F,F,woth,5.0,OX3,3.0,,3.0,4.0
