upn,gender_ap2,fsm_real,sen_real,pp_real,eal_real,maths_gcse_level_1/2_ap1,maths_gcse_level_1/2_ap2,maths_gcse_level_1/2_real
G931101110041,Male,T,N,T,F,5,5,5
G931412021007,Male,F,N,F,F,7,6,6
V931412021017,Male,F,N,F,F,5,4,5
Q931321111021,Female,F,N,F,F,8,8,8
W931101110013,Female,F,N,F,T,5,5,4
G931412021036,Male,F,N,F,T,7,7,7
E931100510046,Female,F,N,F,F,7,7,8
H886463320015,Male,F,N,F,F,9,9,9
G931252910020,Male,F,N,F,F,7,7,8
X931252515054,Female,F,N,F,T,5,5,5
K931101110043,Male,F,N,F,T,7,6,8
X931254309077,Female,F,N,F,T,4,4,4
K931252510030,Female,T,N,T,T,6,5,5
J931101109069,Female,F,N,F,F,8,8,8
U931325310033,Male,F,N,F,F,4,3,2
B931325210016,Female,F,N,F,T,3,3,3
V931240111043,Female,,,,,U,U,
U931100510047,Female,F,N,F,F,U,4,X
R931383511040,Female,F,N,F,F,3,4,3
H931259410003,Female,F,N,T,F,2,U,X
D931252509043,Male,F,K,F,F,5,5,3
V931100609069,Female,F,K,F,F,2,2,1
J331343616034,Female,F,N,F,F,4,4,4
Q931261210054,Female,F,N,F,F,4,4,4
N931252715063,Female,F,N,F,T,7,8,7
C931101110046,Female,F,N,F,T,7,6,7
W931252711025,Female,F,K,F,F,8,8,8
B931321112019,Male,F,N,F,F,9,9,9
M931100609074,Male,F,N,F,F,8,6,7
W931252110035,Female,T,N,T,F,5,5,4
V931321311009,Male,F,N,F,T,8,8,9
P931100610037,Female,F,N,F,F,8,7,8
T931100610039,Male,F,N,F,T,8,8,8
L931235210033,Male,F,N,F,F,7,7,7
Z931252510058,Female,F,K,T,F,3,2,2
G931100610042,Female,F,N,F,F,7,8,7
D931100610040,Female,F,N,F,F,6,7,7
K931252711026,Male,F,N,F,F,8,8,8
W931318811010,Male,F,N,F,F,3,3,3
J931101110052,Female,F,N,F,F,4,5,5
K931252910022,Male,T,N,T,F,4,3,3
A931100510053,Female,F,N,F,F,6,6,7
G931252914082,Female,F,E,F,T,1,1,1
X931252111027,Male,F,N,F,F,3,3,2
U208257811003,Male,F,N,F,F,4,4,4
R931261210045,Female,F,N,F,F,5,5,5
K931100510059,Female,F,N,F,F,8,8,8
Z931252711027,Male,T,E,T,F,,,
J931101010040,Female,F,N,F,F,6,7,7
K931100510061,Female,F,N,F,F,8,8,8
D931412020033,Male,F,N,F,F,5,4,4
N931252711028,Female,F,N,F,T,5,6,7
G931252110034,Male,F,N,F,T,1,2,2
E931252109069,Female,T,N,T,T,4,4,5
M931101110054,Male,F,N,F,T,5,6,5
B931101110055,Female,F,N,F,F,1,2,2
D931383811037,Male,F,K,F,T,6,5,5
N931321611014,Male,,,,,,,
