upn,gender_ap2,fsm_real,sen_real,pp_real,eal_real,ethnicity_code_real,geography_ap1,geography_ap2,geography_real
J931100605008,Female,F,N,F,F,wbri,6.0,7.0,6.0
H931412014040,Male,F,N,F,F,aind,2.0,5.0,3.0
Q931321606011,Male,F,N,F,F,wbri,,,
W931383406005,Female,F,N,F,F,wbri,,,
F931252105027,Male,F,K,T,F,mwbc,,,
V931325305010,Female,F,K,T,F,mwbc,3.0,2.0,2.0
U931258907018,Male,F,N,F,F,aoth,,,
D931261205048,Male,F,K,T,F,wbri,,,
F931252706017,Female,F,N,F,F,wbri,7.0,8.0,8.0
F931259305022,Female,F,N,T,F,wbri,,,
C931100505019,Male,F,N,F,F,wbri,,,
L931100505007,Male,F,N,F,F,mwbc,,,
A931253105017,Female,T,N,T,F,wbri,,,
E931412016011,Male,F,N,F,F,woth,,,
L931325306023,Female,T,K,T,F,wbri,,,
L931246504024,Female,F,N,F,F,wbri,,,
J931252106003,Female,F,K,F,F,wbri,,,
M931101105038,Male,F,N,F,F,wbri,,,
Y931100604010,Male,F,N,F,F,moth,5.0,6.0,7.0
G931325305056,Female,F,E,F,F,wbri,,,
P931100604051,Male,F,N,F,F,wbri,,,
M931100505027,Male,T,N,T,F,wbri,,,
C931100505048,Female,F,N,F,F,wbri,,,
D931100505012,Female,F,N,F,F,wbri,,,
M931412015034,Male,F,N,F,F,wbri,,,
N931100604058,Male,F,N,T,F,wbri,,,
U306204805005,Male,F,N,F,F,aind,,,
X931258911006,Female,F,N,F,F,woth,,,
X931325305021,Male,F,E,T,F,wbri,,,
U931325206006,Male,F,N,F,F,apkn,,,
G931100505014,Male,T,N,T,F,apkn,,,
M931412016006,Male,,,,,,,,
P931101105022,Male,T,N,T,F,mwba,,,
Q931252105006,Female,T,N,T,F,mwba,,,
B931101105039,Female,F,E,F,F,bafr,,,
W931100505015,Male,F,N,F,F,wbri,5.0,6.0,6.0
T931252104045,Male,F,N,F,F,aban,,,
X931412017015,Female,F,N,F,F,ooth,,,
Y931101105008,Male,F,N,F,F,wbri,5.0,7.0,5.0
P931252505007,Female,F,N,F,F,moth,,,
K931252105022,Male,F,K,T,F,wbri,,,
N931252505016,Male,F,N,F,F,aind,,,
J330231705030,Female,F,N,F,F,wbri,,,
B931101105012,Male,F,N,F,F,ooth,,,
H931383606021,Female,T,N,T,F,bafr,,,
N931100505047,Male,F,N,F,F,aoth,,,
L93132110618A,Female,F,N,F,F,mwas,,,
B931252906019,Female,F,N,T,F,mwba,,,
R931100604033,Male,F,K,T,F,wbri,,,
M931383806040,Female,F,N,F,F,woth,,,
Y316201706003,Female,F,K,F,F,ooth,,,
C931321004066,Female,F,N,T,F,woth,4.0,5.0,5.0
E931412013006,Male,F,N,F,F,woth,,,
E931325305045,Female,F,K,F,F,woth,,,
Z93132110619A,Male,F,N,F,F,aind,3.0,5.0,5.0
U931412013007,Female,F,N,F,F,woth,,,
H309330406018,Female,T,N,T,F,mwba,,,
W931253905010,Female,F,K,T,F,wbri,,,
L931412013039,Male,F,N,T,F,aoth,,,
B931100506002,Female,F,N,F,F,wbri,8.0,8.0,7.0
B931383306006,Male,F,N,T,F,wbri,,,
N931383406008,Female,F,N,F,F,wbri,7.0,7.0,7.0
Z931259305045,Female,F,N,T,F,both,,,
U931412017013,Female,F,N,F,F,woth,2.0,4.0,6.0
L931101105018,Male,F,K,F,F,mwas,,,
T931321108018,Male,F,N,F,F,aoth,,,
C931100604059,Female,F,K,F,F,ooth,,,
N931101105002,Female,T,N,T,F,wbri,,,
P931100505011,Male,F,N,F,F,apkn,,,
W93124010521A,Female,F,N,F,F,apkn,,,
D336204405013,Female,F,N,F,F,moth,7.0,7.0,7.0
Z931235204055,Male,F,N,F,F,ooth,,,
P931325206071,Male,F,N,F,F,woth,,,
L931383306014,Female,F,N,F,F,mwas,,,
Q931253905024,Male,F,N,F,F,mwas,3.0,4.0,5.0
Q931412016010,Female,F,N,F,F,aoth,,,
K931254305025,Male,F,N,T,F,ooth,,,
Z931252105023,Male,T,K,T,F,aban,,,
A931235205020,Female,F,N,F,F,wbri,,,
Q318200711002,Male,F,N,F,F,wbri,,,
V931325306011,Female,F,N,T,F,wbri,,,
D931252505010,Female,F,N,F,F,aban,,,
Z307216205038,Female,F,N,T,F,aind,,,
W931252706009,Female,F,N,F,F,wbri,,,
U931256105053,Female,F,N,F,F,aoth,,,
B931101105041,Male,F,N,T,F,bafr,,,
T931325205043,Male,F,N,F,F,apkn,,,
R931100605063,Female,F,N,T,F,mwas,,,
A931321005027,Male,F,N,F,F,apkn,4.0,5.0,4.0
N931101105029,Male,F,N,F,F,woth,3.0,5.0,3.0
T931412014017,Male,F,N,F,F,bafr,3.0,3.0,3.0
B931252106006,Female,T,K,T,F,bafr,,,
P931321005057,Male,F,N,F,F,bafr,,,
P931252505065,Female,F,N,F,F,wbri,,,
M931412015005,Male,F,N,F,F,nobt,,,
L314202506007,Female,F,N,F,F,aind,,,
B331215405026,Female,F,N,F,F,wbri,,,
H931252105009,Female,F,N,F,F,wbri,,,
H931412017014,,,,,,,,,
B931259306030,Male,F,N,F,F,wbri,,,
U931100605016,Female,F,N,F,F,wbri,,,
P931100605023,Male,F,N,T,F,wbri,,,
U931252105010,Male,F,K,F,F,wbri,,,
A931100505008,Female,F,N,F,F,wbri,8.0,7.0,7.0
J931252706021,Female,F,N,F,F,moth,,,
F868303105004,Male,F,N,F,F,wbri,,,
Q931252106007,Male,F,N,F,F,wbri,3.0,3.0,3.0
U93141201504A,Female,F,N,F,F,woth,,,
,Male,,,,,,,,
F931325311053,Male,T,N,T,F,woth,,,
G931252706010,Female,F,N,F,F,wbri,,,
W931252706011,Female,F,N,F,F,aoth,,,
C931101105032,Female,T,K,T,F,wbri,,,
F931252106001,Male,F,K,T,F,ooth,,,
A931101105021,Male,F,N,T,F,aban,,,
H931100605017,Male,F,N,F,F,apkn,,,
J931252504049,Female,F,N,T,F,bafr,,,
A931261205017,Male,F,N,F,F,apkn,,,
K931100604027,Male,F,N,F,F,apkn,4.0,4.0,5.0
R931258909011,Female,F,N,F,F,ooth,,,
C931252111042,Male,F,K,F,F,apkn,,,
Q931252505027,Female,F,N,T,F,mwbc,,,
V931321010001,Female,F,N,F,F,aind,,,
L931100605019,Male,F,N,F,F,moth,,,
F93132530601A,Female,F,N,F,F,aind,,,
V931252105028,Male,F,N,F,F,wbri,,,
J931252904043,Female,F,N,T,F,wbri,,,
G931101105025,Male,T,K,T,F,mwbc,,,
W931100604055,Female,F,N,F,F,wbri,,,
E931383905025,Female,F,K,F,F,wbri,2.0,4.0,4.0
Q931412017011,Female,F,N,F,F,woth,,,
X93132110626A,Male,F,N,F,F,wbri,,,
P931100504037,Female,F,N,F,F,wbri,,,
X931252104040,Female,T,N,T,F,wbri,,,
W931101105026,Female,T,N,T,F,bcrb,,,
Y931252706022,Male,F,K,F,F,wbri,,,
D931252105016,Male,F,K,T,F,wbri,,,
B931252706024,Female,F,K,F,F,wbri,,,
Q931412017009,Male,,,,,,,,
M931252105033,Male,F,E,T,F,wbri,,,
J931316506016,Male,T,N,T,F,wbri,,,
K931321006065,Female,F,N,F,F,aind,,,
G851400516002,Male,F,N,F,F,woth,2.0,4.0,3.0
J931383606041,Female,F,K,F,F,wbri,,,
Z931252706013,Male,F,N,F,F,wbri,,,
U931252106009,Male,T,K,T,F,wbri,,,
A931100605022,Male,F,K,F,F,wbri,,,
Z931100505046,Male,F,N,F,F,wbri,6.0,7.0,7.0
V931259305023,Male,T,K,T,F,wbri,,,
W931258907029,Male,F,N,F,F,aoth,,,
K931325305031,Female,F,K,F,F,wbri,,,
K931258906002,Male,F,N,F,F,woth,,,
K931100604056,Male,F,K,F,F,wbri,,,
G931100605026,Male,F,N,F,F,wbri,,,
P931259305010,Male,F,N,F,F,apkn,3.0,5.0,5.0
L931260608037,Male,T,E,T,F,bafr,,,
X931100505035,Male,F,K,T,F,apkn,,,
C931412017030,Female,F,N,F,F,apkn,,,
P931261205018,Female,F,N,T,F,apkn,,,
B931412017037,Female,F,N,F,F,moth,,,
