upn,gender_ap2,sen_real,ethnicity_code_real,ict_btec_ap1,ict_btec_ap2,ict_btec_real,pp_bool,fsm_bool,eal_bool
V931412014001,Female,N,aind,0,0,0,1,1,1
P931252707006,Female,N,wbri,0,0,0,1,1,1
N931100507022,Female,N,refu,0,0,0,1,1,1
A931100506011,Female,N,wbri,0,0,0,1,1,1
V931252707021,Male,N,wbri,0,0,0,1,1,1
J931101106037,Female,N,ofil,0,0,0,1,1,1
G307217406036,Male,N,aoth,0,0,0,1,1,1
W931100606030,Female,N,wbri,0,0,0,1,1,1
G931325305056,Female,E,wbri,0,0,0,1,1,1
B931101106013,Male,N,wbri,0,0,0,2,2,1
K931325206020,Female,K,wbri,0,0,0,1,1,1
N931252106025,Female,N,woth,0,0,0,1,1,1
D931254307023,Male,N,wbri,0,0,0,1,1,1
U931252106067,Female,N,mwbc,0,0,0,2,1,1
B931100506029,Female,N,wbri,0,0,0,1,1,1
W206364307011,Male,N,woth,0,0,0,1,1,1
E931325206092,Female,N,wbri,0,0,0,1,1,1
U931325206093,Female,N,wbri,0,0,0,1,1,1
W931100606028,Female,N,wbri,0,0,0,1,1,1
H312201906096,Female,N,moth,0,0,0,1,1,1
Q931100506003,Female,N,wbri,0,0,0,1,1,1
C931325306035,Male,N,mwas,0,0,0,2,2,1
R931325205052,Female,N,aban,0,0,0,1,1,1
D931260606040,Female,N,woth,0,0,0,2,1,1
H931101106046,Female,N,apkn,0,0,0,1,1,1
N931259306047,Female,N,ooth,0,0,0,1,1,1
N931259306047,Female,N,ooth,0,0,0,1,1,1
N931259306047,Female,N,ooth,0,0,0,1,1,1
N931259306047,Female,N,ooth,0,0,0,1,1,1
N931259306047,Female,N,ooth,0,0,0,1,1,1
N931259306047,Female,N,ooth,0,0,0,1,1,1
N931259306047,Female,N,ooth,0,0,0,1,1,1
N931259306047,Female,N,ooth,0,0,0,1,1,1
X931253107017,Female,N,aban,0,0,0,2,2,1
A931252506007,Male,N,aban,0,0,0,1,1,1
E931260606029,Male,N,woth,0,0,0,1,1,1
Z931321007011,Male,N,mwas,0,0,0,1,1,1
D931100606025,Female,N,wbri,0,0,0,1,1,1
R931252108058,Female,N,aind,0,0,0,1,1,1
N931101105058,Female,N,wbri,0,0,0,2,2,1
M931100506030,Female,N,aind,0,0,0,1,1,1
G931246107013,Male,N,aind,0,0,0,1,1,1
J931259306025,Female,N,wbri,0,0,0,2,2,1
K931101106028,Male,N,wbri,0,0,0,2,1,1
L931259306036,Male,N,bafr,0,0,0,1,1,1
Y931101106009,Male,N,wbri,0,0,0,2,1,1
T931252206032,Male,N,bafr,0,0,0,2,2,1
M931252106034,Female,N,mwas,0,0,0,2,1,1
C931101106033,Male,N,aban,0,0,0,2,1,1
Q931258913004,Male,N,ooth,0,0,0,1,1,1
T931321006062,Female,N,woth,0,0,0,2,1,1
D931252109080,Female,N,ofil,0,0,0,1,1,1
Z931383906013,Female,N,mwba,0,0,0,2,1,1
B931252106035,Male,N,wbri,0,0,0,1,1,1
K931100506046,Female,N,wbri,0,0,0,1,1,1
A931383312003,Female,N,woth,0,0,0,2,2,1
K931100605057,Female,N,bcrb,0,0,0,1,1,1
H931252906025,Female,N,wbri,0,0,0,1,1,1
R931252106027,Female,N,wbri,0,0,0,1,1,1
Q931252106036,Male,N,wbri,0,0,0,2,1,1
E931101106015,Male,N,aoth,0,0,0,1,1,1
E931252107009,Male,K,aoth,0,0,0,1,1,1
Y931101106038,Male,N,bafr,0,0,0,1,1,1
W931101107030,Female,N,mwas,0,0,0,1,1,1
W931260606043,Female,N,mwas,0,0,0,2,2,1
E931100605015,Male,N,wbri,0,0,0,1,1,1
F931252106028,Male,N,wirt,0,0,0,2,1,1
A931252507008,Male,N,wbri,0,0,0,2,1,1
Z931100507021,Female,N,wbri,0,0,0,1,1,1
N931100606033,Female,N,wbri,0,0,0,1,1,1
J800310207027,Male,N,nobt,0,0,0,1,1,1
G931100506015,Female,N,wbri,0,0,0,1,1,1
R931101106005,Male,N,both,0,0,0,2,1,1
L931252107073,Male,N,wbri,0,0,0,2,2,1
B931383807013,Female,N,wbri,0,0,0,1,1,1
J931252505052,Male,N,apkn,0,0,0,1,1,1
L931100506010,Female,N,apkn,0,0,0,1,1,1
T931321006033,Female,N,aind,0,0,0,1,1,1
L931252505034,Female,N,apkn,0,0,0,1,1,1
E931252106010,Female,N,mwba,0,0,0,1,1,1
Q931101106043,Male,N,wbri,0,0,0,2,1,1
N931101106032,Male,N,wbri,0,0,0,1,1,1
E931383807015,Male,N,wiri,0,0,0,1,1,1
V931254306034,Male,N,wbri,0,0,0,1,1,1
A304400114171,Male,N,mwba,0,0,0,1,1,1
V931252106029,Female,N,wbri,0,0,0,1,1,1
D931252707007,Male,K,wbri,0,0,0,1,1,1
X931321107012,Male,N,wbri,0,0,0,1,1,1
Y931101106040,Female,N,mwba,0,0,0,1,1,1
A931100606023,Female,N,wbri,0,0,0,1,1,1
E931252106037,Male,N,wbri,0,0,0,2,2,1
L931252506035,Female,N,mwbc,0,0,0,2,1,1
L931321107013,Male,N,aind,0,0,0,1,1,1
M931252912006,Female,N,aind,0,0,0,1,1,1
Q931100605043,Male,N,wbri,0,0,0,1,1,1
A931321107014,Female,N,wbri,0,0,0,2,1,1
V931325307012,Female,N,wbri,0,0,0,1,1,1
X931253906029,Female,N,wbri,0,0,0,1,1,1
X931100605047,Male,N,wbri,0,0,0,1,1,1
U931101106045,Male,N,wbri,0,0,0,2,1,1
G931383906010,Male,N,wbri,0,0,0,2,2,1
L931100606022,Male,N,aoth,0,0,0,1,1,1
J931100606011,Male,K,wbri,0,0,0,2,2,1
B931100506031,Male,N,wbri,0,0,0,1,1,1
P931321107015,Female,N,wbri,0,0,0,1,1,1
G93132110702A,Female,N,mwbc,0,0,0,2,2,1
N931100606004,Male,N,wbri,0,0,0,2,1,1
T928222007041,Male,N,aind,0,0,0,1,1,1
T931101106025,Male,N,apkn,0,0,0,1,1,1
A931101106022,Female,K,apkn,0,0,0,1,1,1
L931101105047,Female,N,mwas,0,0,0,1,1,1
N931252707015,Female,K,wbri,0,0,0,1,1,1
Y931254307008,Male,N,apkn,0,0,0,2,2,1
Z931252707014,Female,N,wbri,0,0,0,1,1,1
A931252106044,Male,N,wbri,0,0,0,1,1,1
R931100506023,Male,N,wbri,0,0,0,1,1,1
B931101006001,Female,N,woth,0,0,0,1,1,1
H931252211040,Male,N,ooth,0,0,0,1,1,1
V931412016032,Female,N,mwba,0,0,0,1,1,1
R931383407013,Female,N,wbri,0,0,0,1,1,1
P931258907025,Male,N,wbri,0,0,0,1,1,1
F931383407014,Male,N,wbri,0,0,0,1,1,1
N931100605061,Female,N,wbri,0,0,0,1,1,1
W931252106078,Male,N,wbri,0,0,0,1,1,1
J931100606009,Male,N,wbri,0,0,0,1,1,1
G931412014018,Female,N,woth,0,0,0,2,1,1
A931316507029,Male,N,wbri,0,0,0,2,2,1
L931325205066,Male,N,moth,0,0,0,1,1,1
U850262306029,Female,N,aoth,0,0,0,1,1,1
K931100606029,Female,N,woth,0,0,0,1,1,1
H931240107011,Male,N,wbri,0,0,0,1,1,1
H931259306063,Male,N,wbri,0,0,0,2,2,1
C931101106004,Female,K,wbri,0,0,0,1,1,1
J931100606040,Male,N,wbri,0,0,0,1,1,1
Q931252906022,Male,N,wbri,0,0,0,1,1,1
X931101106047,Female,N,wbri,0,0,0,2,1,1
E931252108068,Female,N,both,0,0,0,1,1,1
F931383607038,Female,K,mwbc,0,0,0,1,1,1
F931252707018,Male,N,wbri,0,0,0,1,1,1
A931100605051,Male,N,apkn,0,0,0,1,1,1
G931252707011,Female,N,mwbc,0,0,0,1,1,1
P931252506008,Male,N,wbri,0,0,0,1,1,1
C931100506049,Male,N,apkn,0,0,0,1,1,1
Q931252107037,Male,N,aoth,0,0,0,1,1,1
A931253107019,Male,N,woth,0,0,0,1,1,1
U931252510074,Male,N,nobt,0,0,0,1,1,1
M931321008051,Male,K,aban,P1,P1,P1,1,1,1
D931252714054,Male,N,ooth,P2,M2,P2,2,1,2
C931101008023,Female,N,aban,P1,P1,P1,2,2,2
K931252509018,Female,K,nobt,P1,P1,0,1,1,1
G931321110003,Male,N,wbri,D2,D1,M2,1,1,1
A931259308039,Female,N,wbri,P1,P1,P1,2,2,1
E931252916073,Male,N,ooth,P2,P2,P1,2,2,1
D931325308030,Male,N,bcrb,P1,P1,P1,2,2,1
X931325210023,Male,K,aoth,M2,M2,M2,1,1,2
B931259309004,Male,N,wbri,P1,M1,P1,1,1,1
T931383615020,Female,N,woth,M2,M2,0,1,1,1
K931252509020,Male,K,aoth,P2,P2,0,1,1,1
W931252111065,Male,N,aoth,M1,P2,D1,1,1,1
V931321008075,Female,N,aban,P1,M1,P1,2,2,1
W931235209029,Male,N,mwbc,M2,M2,P2,2,1,1
Y931252509028,Male,K,aban,P2,P2,P1,2,2,2
K931252910051,Male,N,bafr,M1,P2,D1,1,1,1
W391377809016,Male,K,bafr,P1,P1,P1,1,1,1
T931252509015,Male,K,apkn,M1,P1,M1,1,1,1
L931383612038,Female,N,aoth,P2,P2,0,1,1,1
R931101109037,Female,K,aoth,M2,M2,D1,1,1,2
M931252916068,Female,N,bafr,M1,P2,D1,1,1,2
B931252109011,Female,N,bafr,M2,M2,D1,2,2,1
D316209709080,Male,K,both,P1,P1,0,1,1,1
P931325208073,Female,N,bafr,M2,M2,D1,1,1,1
K931325309006,Female,N,wbri,M1,P2,M1,1,1,1
Z931325309036,Male,E,wbri,P2,P1,P1,2,2,1
M931321115023,Female,N,wbri,M1,M1,P1,1,1,1
X886463320016,Male,N,oegy,M2,D2,D*2,1,1,1
C931100609037,Male,K,bafr,P1,P1,P1,1,1,1
V931101109012,Male,N,wbri,M1,M1,M1,1,1,1
B931325309020,Male,K,wbri,P2,P2,P1,1,1,1
F931252509025,Male,N,nobt,P2,P2,P1,2,2,1
M931235210024,Female,K,wbri,P2,P1,P2,1,1,1
