upn,gender_ap2,sen_real,ethnicity_code_real,biology_ap1,biology_ap2,biology_real,pp_bool,fsm_bool,eal_bool
P931252506008,Male,N,wbri,7,8,8,1,1,1
Y888201710013,Male,N,ooth,9,9,9,1,1,1
M888201710014,Male,K,ooth,8,8,7,1,1,1
R928218115049,Female,N,apkn,8,7,7,1,1,2
Q931325208064,Male,N,apkn,4,4,4,2,2,2
H931325209012,Male,N,bafr,7,7,7,2,2,1
L931252709035,Female,N,wbri,7,5,8,1,1,1
A931383310001,Female,N,wbri,5,5,7,1,1,1
A931383810034,Male,N,ofil,5,5,5,1,1,1
D931100608056,Female,N,wbri,9,9,9,1,1,1
Q879418719002,Female,N,woth,3,4,4,2,2,1
N931100609007,Male,N,wbri,8,8,8,1,1,1
W931101109061,Female,N,ofil,9,9,9,1,1,1
B931412016036,Female,N,wbri,7,7,7,1,1,1
G931101109060,Male,N,wbri,7,7,7,1,1,1
X931325210023,Male,K,aoth,5,6,6,1,1,2
U931412020025,Male,N,ooth,5,4,4,1,1,1
V931252111045,Male,N,aind,6,6,7,1,1,2
B931259309004,Male,N,wbri,4,4,4,1,1,1
C673336808019,Female,N,wbri,8,7,9,1,1,1
W931252111065,Male,N,aoth,5,4,5,1,1,1
M931252710007,Male,N,wbri,9,9,9,1,1,1
P931383310002,Female,N,wbri,5,6,6,2,1,1
Q931235212001,Male,N,woth,8,8,9,1,1,1
B931100609017,Female,N,mwas,6,6,7,1,1,1
Y931321309029,Male,N,wbri,5,4,5,1,1,1
Z931254309090,Female,N,bafr,7,7,8,2,2,1
C931321610014,Male,N,woth,8,8,8,1,1,1
U931101109019,Male,N,ooth,7,7,7,1,1,1
R931383816054,Male,N,ooth,6,6,7,1,1,2
H931252209056,Female,N,woth,5,4,5,1,1,2
Q931100609020,Female,N,wbri,7,7,7,1,1,1
N931100608064,Female,N,wbri,6,6,8,1,1,1
F931100609041,Male,N,wbri,9,8,7,1,1,1
M931252916068,Female,N,bafr,5,7,6,1,1,2
Y931321110015,Male,N,both,5,5,5,2,2,2
T931252910046,Female,N,wbri,6,5,6,1,1,1
U931383908031,Female,N,wbri,6,5,6,1,1,2
Q931321008053,Male,N,nobt,8,6,6,1,1,1
V931325309014,Female,N,aoth,7,7,7,1,1,1
X931325208068,Male,N,bafr,6,7,8,2,2,1
X886463320016,Male,N,oegy,9,9,9,1,1,1
K931101109004,Female,N,aind,9,9,9,1,1,1
T931100609002,Female,K,wbri,4,5,4,1,1,1
Y931100509032,Female,N,woth,7,7,8,1,1,1
Q931252909054,Male,N,aind,5,5,6,1,1,2
D931100609028,Male,N,wbri,5,5,5,1,1,1
W931101108060,Female,N,aoth,6,6,6,1,1,1
T931100609029,Female,N,moth,8,9,9,1,1,1
L931101008038,Female,N,wbri,9,8,9,1,1,1
Q931101008033,Male,N,wbri,9,8,9,1,1,1
C931412020042,Male,N,refu,5,5,7,1,1,1
