upn,estimate_ap2,actual_ap2,gender_ap2,english_literature_gcse_level_1/2_ap1,english_literature_gcse_level_1/2_ap2
l931100510023,74,80,Female,8,8
y931261210051,27,31,Female,4,4
r931252110013,27,26,Male,3,3
m931101110025,46,49,Male,5,5
y931252111018,41,42,Male,4,4
c931383611022,41,39,Male,4,4
t931252110062,46,50,Male,5,5
c931321009073,49,53,Male,5,5
r931325310051,23,26,Female,3,3
f931100610051,46,52,Male,5,5
h878261811006,24,27,Male,3,3
l931321611032,37,40,Male,4,4
p931100510025,65,75,Female,7,7
l931260610077,52,60,Male,6,6
b931383411005,49,57,Female,6,6
r931412022016,58,60,Male,6,6
z931321012025,58,45,Female,7,7
w931100510031,17,18,Male,3,3
l931252111030,27,32,Female,4,4
e931101110028,65,62,Male,6,6
a931252111031,32,29,Male,3,3
u931101110029,49,58,Female,6,6
p931386115052,24,28,Male,3,3
b931101010014,65,66,Male,6,6
w931321011051,23,30,Male,3,3
y931325209062,37,44,Female,5,5
g931252110005,26,33,Male,3,3
c931321310005,36,40,Male,4,4
z203222811011,61,64,Male,6,6
a931252711018,30,28,Male,3,3
q931101010015,46,55,Female,6,6
h931253110030,39,40,Male,4,4
q931100610030,79,81,Female,8,8
k931100510032,37,43,Male,4,4
z931321113009,74,77,Female,8,8
v931100610023,36,42,Female,4,4
h931252911041,61,60,Male,6,6
t931254310007,37,40,Male,4,4
f931259310036,54,60,Female,6,6
c931100509054,31,27,Male,3,3
a931101110035,58,59,Female,6,6
w931201516056,21,30,Female,3,3
j931321010031,65,76,Male,7,7
x931261211032,32,38,Male,4,4
n931253911030,49,59,Female,6,6
g931252113008,36,42,Female,5,5
j931383811023,69,68,Male,6,6
e931258911003,46,50,Male,5,5
m931383611001,69,82,Female,8,8
m931383811025,54,54,Male,6,6
j931252911003,49,51,Male,5,5
d931101110037,37,39,Male,4,4
r931325210037,49,57,Female,6,6
h931100610033,44,44,Female,5,5
a931252111029,44,50,Female,6,6
t931101110038,58,63,Female,7,7
g931383614018,39,51,Female,5,5
l302202811022,41,45,Female,5,5
a931321611004,54,61,Female,7,7
y931100610025,54,63,Male,6,6
f931412020044,34,34,Female,4,4
e931100609048,74,74,Male,7,7
k931253909044,34,36,Female,4,4
m931321010033,20,25,Male,3,3
r211255710009,69,75,Male,7,7
z316209709137,58,58,Female,6,6
g931101110041,46,49,Male,5,5
q931321111021,79,80,Female,8,8
w931101110013,46,48,Female,5,5
e931100510046,61,68,Female,7,7
g931252910020,54,69,Male,6,6
x931252515054,54,57,Female,6,6
k931101110043,61,64,Male,6,6
x931254309077,54,61,Female,6,6
k931252510030,49,55,Female,6,6
b931325210016,39,46,Female,5,5
j931101109069,65,85,Female,8,8
u931325310033,46,49,Male,5,5
v931240111043,46,48,Female,5,5
u931100510047,65,70,Female,7,7
r931383511040,27,33,Female,4,4
h931259410003,25,28,Female,3,3
d931252509043,39,36,Male,4,4
v931100609069,34,33,Female,4,4
j331343616034,54,58,Female,6,6
q931261210054,32,34,Female,4,4
n931252715063,39,41,Female,5,5
c931101110046,69,80,Female,8,8
w931252711025,39,48,Female,5,5
b931321112019,65,67,Male,6,6
m931100609074,54,58,Male,6,6
w931252110035,46,54,Female,6,6
v931321311009,69,67,Male,6,6
p931100610037,69,75,Female,8,8
t931100610039,65,70,Male,6,6
l931235210033,65,68,Male,6,6
z931252510058,26,29,Female,3,3
g931100610042,54,61,Female,6,6
d931100610040,79,80,Female,8,8
k931252711026,69,71,Male,7,7
w931318811010,34,33,Male,4,4
k931252910022,37,36,Male,4,4
a931100510053,49,54,Female,6,6
g931252914082,0,20,Female,3,3
x931252111027,30,30,Male,3,3
u208257811003,27,31,Male,3,3
r931261210045,54,63,Female,6,6
k931100510059,74,82,Female,8,8
z931252711027,19,29,Male,3,3
j931101010040,46,51,Female,5,5
k931100510061,54,64,Female,7,7
n931252711028,41,50,Female,5,5
g931252110034,25,28,Male,3,3
e931252109069,34,43,Female,5,5
m931101110054,69,65,Male,6,6
b931101110055,34,43,Female,5,5
d931383811037,25,31,Male,3,3
