,Combined or triple?,Intervention ,Grade 8/9 workbook?,Combined Tier - should match summer 2023,FFT20,PP,SEN need(s),Year 10 Combined Biology MARK,Year 10 Combined Chemistry MARK,Year 10 Combined Physics MARK,Year 10 Combined TOTAL MARK,Year 10 Combined MOCK GRADE,Year 11 term 2 Combined Biology MARK,Year 11 term 2 Combined Chemistry MARK,Year 11 term 2 Combined Physics MARK,Year 11 term 2 Combined TOTAL MARK,Combined MOCK GRADE term 2,Combined Mock Tier ,Combined Biology MARK (without Q9)/70,Combined Chemistry MARK,Combined Physics MARK,Combined TOTAL MARK,Combined MOCK GRADE Term 4,ANY MISSED MOCKS??,FFT20.1
30,Combined,,,F,4-,Yes,"Speech, Language and Communication Needs",,,,,Ab,,,,0.0,U,F,Abs,Abs,Abs,0.0,Abs,,4-
31,Combined,,,F,4,,Specific Learning Difficulty,7.0,4.0,6.0,17.0,U,28,24,29.0,81.0,3-2,F,28,15,22,65.0,3-2,,4
32,Combined,,,H,6,,,20.0,9.0,18.0,47.0,4-4,16,10,30.0,56.0,5-5,H,25,15,23,63.0,5-5,,6
33,Combined,,,F,,,,,,,,,,,,,,F,Abs,5,6,16.5,U,,
34,Combined,,,H,4,,,9.0,16.0,13.0,38.0,4-3,26,9,18.0,53.0,5-5,H,19,26,24,69.0,5-5,,4
35,Combined,,,H,5+,,,41.0,36.0,45.0,122.0,5-5,22,10,13.0,45.0,6-5,H,36,21,14,71.0,6-5,,5+
36,Combined,,,H,,,,13.0,11.0,,36.0,4-3,13,10,13.0,36.0,5-5,H,30,21,13,64.0,5-5,,
37,Combined,,,F,,,,31.0,34.0,38.0,103.0,4-4,27,24,42.0,93.0,3-3,F,20,30,29,79.0,3-3,,
38,Combined,,,H,,,,,,,,,48,46,55.0,149.0,7-7,H,41,40,22,103.0,7-7,,
39,Combined,,y,H,7-,,,39.0,41.0,49.0,129.0,9-8,34,37,53.0,124.0,9-9,H,53,44,41,138.0,9-9,,7-
40,Combined,,,F,3,,,21.0,25.0,29.0,75.0,3-3,32,24,38.0,94.0,4-3,F,39,25,23,87.0,4-3,,3
41,Combined,,,F,,,,23.0,31.0,30.0,84.0,4-3,28,22,36.0,86.0,3-3,F,37,28,20,85.0,3-3,,
42,Combined,,,F,4-,,,29.0,25.0,36.0,90.0,4-3,39,29,44.0,112.0,4-4,F,38,34,29,101.0,4-4,,4-
43,Combined,,,H,5+,,Moderate Learning Difficulty,34.0,27.0,28.0,89.0,7-6,35,25,35.0,95.0,8-7,H,43,41,28,112.0,8-7,,5+
44,Combined,,,H,4+,,Moderate Learning Difficulty,18.0,12.0,27.0,57.0,5-5,29,14,30.0,73.0,7-6,H,28,45,23,96.0,7-6,,4+
45,Combined,,,F,5,,,27.0,19.0,21.0,67.0,3-2,38,18,21.0,77.0,3-3,F,31,28,25,84.0,3-3,,5
46,Combined,,,F,4+,,,27.0,30.0,46.0,103.0,4-4,27,27,34.0,88.0,4-4,F,39,37,29,105.0,4-4,,4+
47,Combined,,,F,3,Yes,"Social, Emotional & Mental Health, Speech, Language and Communication Needs, Moderate Learning Difficulty",,,,0.0,U,8,,,8.0,U,F,0,abs,abs,0.0,U,,3
48,Combined,,,F,3,,"Social, Emotional & Mental Health",28.0,21.0,13.0,62.0,3-2,32,13,24.0,69.0,2-1,F,29,12,6,47.0,2-1,,3
49,Combined,,,F,4-,Yes,,47.0,22.0,31.0,100.0,4-4,59,48,57.0,164.0,U,H,15,11,5,31.0,U,,4-
50,Combined,,,H,5+,Yes,,10.0,12.0,11.0,33.0,U,37,15,35.0,87.0,U,H,10,9,10,29.0,U,,5+
51,Combined,,,H,5+,,,,13.0,16.0,43.5,4-4,38,37,46.0,121.0,4-4,H,19,14,15,48.0,4-4,,5+
52,Combined,,,F,,,,,,,,,39,37,28.0,104.0,5-5,F,55,39,44,138.0,5-5,,
53,Combined,,,F,3,Yes,,25.0,21.0,26.0,72.0,3-3,28,23,20.0,71.0,2-2,F,14,20,15,49.0,2-2,,3
54,Combined,NTP,y,H,6+,,,32.0,37.0,26.0,95.0,7-7,39,37,38.0,114.0,9-8,H,49,53,31,133.0,9-8,,6+
55,Combined,,,H,,,,29.0,26.0,19.0,74.0,6-5,37,38,41.0,116.0,7-7,H,37,35,32,104.0,7-7,,
56,Combined,,,F,4,,,33.0,20.0,30.0,83.0,4-3,35,21,34.0,90.0,4-3,F,34,27,26,87.0,4-3,,4
57,Combined,,,F,3-,Yes,Moderate Learning Difficulty,,16.0,4.0,30.0,1-1,16,11,10.0,37.0,1-1,F,12,10,7,29.0,1-1,,3-
58,Combined,,,F,3,Yes,Moderate Learning Difficulty,25.0,24.0,22.0,71.0,3-3,13,10,12.0,35.0,1-1,F,13,20,,33.0,1-1,,3
59,Combined,,,F,4-,,"Speech, Language and Communication Needs, Moderate Learning Difficulty",13.0,6.0,9.0,28.0,1-1,31,23,35.0,89.0,3-3,F,27,19,30,76.0,3-3,,4-
60,Combined,NTP,,F,,,,34.0,29.0,48.0,111.0,5-4,32,32,22.0,86.0,8-7,H,44,36,36,116.0,8-7,,
61,Combined,,,F,,,,,,,,,19,24,19.0,62.0,3-3,F,30,29,21,80.0,3-3,,
62,Combined,,,F,6-,,,42.0,38.0,36.0,116.0,5-4,31,18,37.0,86.0,4-3,F,39,27,29,95.0,4-3,,6-
63,Combined,,,F,4+,,,33.0,29.0,38.0,100.0,4-4,32,18,34.0,84.0,4-3,F,55,17,21,93.0,4-3,,4+
64,Combined,,,F,4,,Moderate Learning Difficulty,35.0,16.0,26.0,77.0,3-3,24,21,28.0,73.0,3-2,F,33,15,12,60.0,3-2,,4
65,Combined,,,H,7,,,44.0,25.0,30.0,99.0,7-7,31,34,46.0,111.0,9-8,H,41,49,37,127.0,9-8,,7
66,Combined,,,F,3+,,Moderate Learning Difficulty,33.0,23.0,22.0,78.0,3-3,29,17,25.0,71.0,2-2,F,22,19,18,59.0,2-2,,3+
67,Combined,,,H,5-,,,20.0,16.0,20.0,56.0,5-4,46,32,47.0,125.0,7-7,H,42,25,37,104.0,7-7,,5-
68,Combined,,,H,5-,,,22.0,20.0,24.0,66.0,6-5,28,26,29.0,83.0,6-6,H,30,33,26,89.0,6-6,,5-
69,Combined,,,F,5-,,Autistic Spectrum Disorder,18.0,22.0,,60.0,3-2,30,25,19.0,74.0,3-2,F,32,29,,61.0,3-2,,5-
70,Combined,,,H,5+,,,19.0,33.0,25.0,77.0,6-6,28,30,36.0,94.0,U,H,,,30,30.0,U,,5+
71,Combined,,,,,,,,,,,,21,,,,,F,,,,0.0,U,,
72,Combined,,,H,5,,,31.0,23.0,31.0,85.0,7-6,35,26,31.0,92.0,7-7,H,42,34,30,106.0,7-7,,5
73,Combined,,,H,7-,,,29.0,16.0,16.0,61.0,5-5,37,9,27.0,73.0,7-7,H,46,29,28,103.0,7-7,,7-
74,Combined,,y,H,7,,,34.0,33.0,40.0,107.0,8-7,34,35,31.0,100.0,8-8,H,50,43,29,122.0,8-8,,7
75,Combined,,,F,6-,,,41.0,41.0,41.0,123.0,5-5,,13,,13.0,6-5,H,26,20,27,73.0,6-5,,6-
76,Combined,,,change to H,5-,,,42.0,41.0,37.0,120.0,8-8,30,25,22.0,77.0,5-5,H,31,20,17,68.0,5-5,,5-
77,Combined,,,F,4,,,25.0,29.0,28.0,82.0,3-3,32,22,45.0,99.0,4-3,F,35,31,22,88.0,4-3,,4
78,Combined,,,F,5+,,"Social, Emotional & Mental Health, Autistic Spectrum Disorder",30.0,28.0,33.0,91.0,4-3,35,37,42.0,114.0,U,H,18,12,9,39.0,U,,5+
79,Combined,,,F,,,,19.0,21.0,15.0,55.0,2-2,17,21,24.0,62.0,2-2,F,20,14,17,51.0,2-2,,
80,Combined,,,F,4-,,Moderate Learning Difficulty,28.0,28.0,35.0,91.0,4-3,39,26,37.0,102.0,3-2,F,30,30,,60.0,3-2,,4-
81,Combined,,,F,4+,,,28.0,33.0,31.0,92.0,4-3,36,31,38.0,105.0,3-3,F,24,30,31,85.0,3-3,,4+
82,Combined,,y,H,8,,,37.0,32.0,46.0,115.0,8-8,37,31,36.0,104.0,8-7,H,38,37,34,109.0,8-7,,8
83,Combined,,,F,4-,,,18.0,17.0,20.0,55.0,2-2,29,24,22.0,75.0,4-3,F,32,30,28,90.0,4-3,,4-
84,Combined,,,F,,,,26.0,,,78.0,3-3,,,,0.0,U,F,,,,0.0,U,,
85,Combined,,,change to H,5-,,,32.0,40.0,39.0,111.0,8-7,21,5,15.0,40.0,6-6,H,31,29,27,87.0,6-6,,5-
86,Combined,,,change to H,4,,,46.0,,,138.0,9-9,26,19,23.0,68.0,7-6,H,29,37,27,93.0,7-6,,4
87,Combined,,,F,5-,,,22.0,18.0,23.0,63.0,3-2,35,34,33.0,102.0,3-2,F,26,17,19,62.0,3-2,,5-
88,Combined,,,H,,,,25.0,18.0,25.0,68.0,6-5,31,40,22.0,93.0,U,H,,,,0.0,U,,
89,Combined,,,F,5-,Yes,,,,,,Ab,,,,0.0,U,F,,,,0.0,U,,5-
90,Combined,,,F,4-,,Moderate Learning Difficulty,,11.0,,33.0,2-1,,,,0.0,1-1,F,9,4,8,21.0,1-1,,4-
91,Combined,,y,H,6-,,,30.0,38.0,30.0,98.0,7-7,26,35,25.0,86.0,9-8,H,42,45,43,130.0,9-8,,6-
92,Combined,,,F,4,Yes,,26.0,24.0,24.0,74.0,3-3,30,22,33.0,85.0,3-3,F,23,26,28,77.0,3-3,,4
93,Combined,,,F,3+,,"Hearing Impairment, Social, Emotional & Mental Health",26.0,21.0,16.0,63.0,3-2,26,21,38.0,85.0,3-2,F,25,19,24,68.0,3-2,,3+
94,Combined,,,H,4+,,Moderate Learning Difficulty,13.0,20.0,15.0,48.0,5-4,23,26,18.0,67.0,6-6,H,37,26,25,88.0,6-6,,4+
95,Combined,,,F,3-,Yes,,16.0,22.0,22.0,60.0,3-2,22,21,36.0,79.0,2-2,F,18,19,18,55.0,2-2,,3-
96,Combined,,,H,3,Yes,Moderate Learning Difficulty,15.0,14.0,10.0,39.0,4-3,52,66,59.0,177.0,6-6,H,30,38,15,83.0,6-6,,3
97,Combined,,,F,6,,,,,1.0,3.0,U,19,,,19.0,U,F,,abs,,0.0,U,Phys,6
98,Combined,,,H,6,,,31.0,22.0,30.0,83.0,6-6,26,23,25.0,74.0,7-7,H,32,37,31,100.0,7-7,,6
99,Combined,,,F,4,Yes,,23.0,26.0,32.0,81.0,3-3,26,16,40.0,82.0,2-2,F,14,22,21,57.0,2-2,,4
100,Combined,,,F,4-,Yes,"Social, Emotional & Mental Health",23.0,24.0,5.0,52.0,2-2,22,24,8.0,54.0,3-3,F,24,21,29,74.0,3-3,,4-
101,Combined,,,H,4-,,,38.0,29.0,41.0,108.0,5-4,18,16,8.0,42.0,U,H,19,7,8,34.0,U,,4-
102,Combined,,y,H,,,,17.0,42.0,36.0,95.0,7-7,27,38,40.0,105.0,8-7,H,34,41,37,112.0,8-7,,
103,Combined,,,F,6-,Yes,"Social, Emotional & Mental Health, Speech, Language and Communication Needs",28.0,17.0,33.0,78.0,3-3,26,12,37.0,75.0,3-2,F,19,17,25,61.0,3-2,,6-
104,Combined,,y,H,6-,,,14.0,10.0,15.0,39.0,4-3,18,16,23.0,57.0,7-7,H,37,36,31,104.0,7-7,,6-
105,Combined,,,F,5,Yes,,14.0,10.0,15.0,39.0,4-3,30,31,40.0,101.0,3-3,F,27,27,27,81.0,3-3,,5
106,Combined,,,F,4,Yes,,18.0,12.0,26.0,56.0,3-2,23,18,32.0,73.0,2-1,F,12,12,15,39.0,2-1,,4
107,Combined,,,H,,,,18.0,18.0,21.0,57.0,5-5,20,15,22.0,57.0,7-7,H,32,38,35,105.0,7-7,,
108,Combined,,,F,5,,,39.0,34.0,38.0,111.0,5-4,43,28,40.0,111.0,4-4,F,33,41,37,111.0,4-4,,5
109,Combined,,,F,4,,"Speech, Language and Communication Needs",7.0,7.0,11.0,25.0,U,31,25,34.0,90.0,3-3,F,34,16,28,78.0,3-3,,4
110,Combined,,,H,6-,,,28.0,25.0,23.0,76.0,6-6,25,18,19.0,62.0,6-6,H,27,28,31,86.0,6-6,,6-
111,Combined,,,F,5-,Yes,,20.0,16.0,14.0,50.0,2-2,16,,13.0,29.0,2-1,F,25,10,4,39.0,2-1,,5-
112,Combined,,y,H,,,,30.0,37.0,40.0,107.0,8-7,32,26,39.0,97.0,7-7,H,43,47,14,104.0,7-7,,
113,Combined,,,F,3,,,,11.0,10.0,31.5,1-1,21,19,7.0,47.0,1-1,F,13,12,,25.0,1-1,Phys?,3
114,Combined,,,F,4+,,"Specific Learning Difficulty, Speech, Language and Communication Needs",7.0,,3.0,15.0,U,,,,0.0,U,F,,,,0.0,U,Phys?,4+
115,Combined,,,F,3,,"Speech, Language and Communication Needs",12.0,14.0,21.0,47.0,2-2,22,22,21.0,65.0,2-2,F,19,16,17,52.0,2-2,,3
116,Combined,,,H,4,,Moderate Learning Difficulty,27.0,23.0,11.0,61.0,5-5,17,25,19.0,61.0,5-4,H,23,21,15,59.0,5-4,,4
117,Combined,,,F,4-,Yes,"Speech, Language and Communication Needs",17.0,29.0,38.0,84.0,4-3,24,32,26.0,82.0,3-3,F,29,22,22,73.0,3-3,,4-
118,Combined,,,F,3,Yes,"Specific Learning Difficulty, Moderate Learning Difficulty",12.0,,8.0,30.0,1-1,11,,10.0,21.0,2-1,F,13,11,11,35.0,2-1,,3
119,Combined,,,H,5,Yes,,38.0,40.0,45.0,123.0,5-5,43,40,43.0,126.0,4-4,H,11,15,18,44.0,4-4,,5
120,Combined,,,F,3,,Specific Learning Difficulty,32.0,31.0,27.0,90.0,4-3,30,32,36.0,98.0,4-3,F,44,27,21,92.0,4-3,,3
121,Combined,,,H,5-,,,8.0,11.0,16.0,35.0,4-3,28,20,41.0,89.0,3-3,F,34,28,20,82.0,3-3,,5-
122,Combined,,,F,5,,,25.0,23.0,27.0,75.0,3-3,27,27,41.0,95.0,3-3,F,25,27,24,76.0,3-3,,5
123,Combined,,,H,7-,,,13.0,11.0,19.0,43.0,4-4,41,29,44.0,114.0,4-4,F,51,22,27,100.0,4-4,,7-
124,Combined,,,H,5-,,,,12.0,22.0,51.0,5-4,19,12,4.0,35.0,4-4,H,20,12,20,52.0,4-4,,5-
125,Combined,,,F,4,,,34.0,20.0,27.0,81.0,3-3,36,19,37.0,92.0,4-4,F,43,39,26,108.0,4-4,,4
126,Combined,,,H,5+,,,15.0,14.0,33.0,62.0,5-5,25,24,33.0,82.0,6-5,H,25,29,24,78.0,6-5,,5+
127,Combined,,,F,6-,,,40.0,23.0,37.0,100.0,4-4,31,27,44.0,102.0,4-3,F,31,34,25,90.0,4-3,,6-
128,Combined,,,F,6-,Yes,,13.0,18.0,34.0,65.0,3-2,25,,28.0,53.0,U,F,17,,,17.0,U,,6-
129,Combined,,,F,4,,Specific Learning Difficulty,37.0,26.0,34.0,97.0,4-4,40,24,43.0,107.0,3-3,F,33,26,27,86.0,3-3,,4
130,Combined,,,H,5+,Yes,"Anxiety disorder, Moderate Learning Difficulty",,,,0.0,U,26,,38.0,64.0,U,H,,,,0.0,U,,5+
131,Combined,,,F,6,,,32.0,24.0,44.0,100.0,4-4,42,34,,76.0,5-4,H,20,21,16,57.0,5-4,,6
132,Combined,,,F,,,,28.0,33.0,36.0,97.0,4-4,37,25,25.0,87.0,3-3,F,28,19,28,75.0,3-3,,
133,Combined,,,F,4,Yes,"Social, Emotional & Mental Health",21.0,,29.0,75.0,3-3,28,16,10.0,54.0,2-2,F,17,22,13,52.0,2-2,,4
134,Combined,,,F,,,,34.0,,41.0,75.0,3-3,43,27,44.0,114.0,6-5,H,18,30,24,72.0,6-5,,
135,Combined,,,F,4,,,18.0,,32.0,75.0,3-3,33,23,32.0,88.0,3-3,F,28,30,20,78.0,3-3,,4
136,Combined,,,F,3-,Yes,,18.0,13.0,15.0,46.0,2-2,16,14,17.0,47.0,2-1,F,12,13,15,40.0,2-1,,3-
137,Combined,,,H,5,Yes,,12.0,16.0,22.0,50.0,5-4,14,17,17.0,48.0,5-5,H,17,28,19,64.0,5-5,,5
138,Combined,,,H,,,,8.0,3.0,12.0,23.0,U,31,31,42.0,104.0,U,F,,,,0.0,U,,
139,Combined,,,H,4+,,,23.0,15.0,21.0,59.0,5-5,24,24,33.0,81.0,7-6,H,36,35,28,99.0,7-6,,4+
140,Combined,,,H,,,,7.0,6.0,15.0,28.0,U,30,26,36.0,92.0,5-5,H,23,27,19,69.0,5-5,,
141,Combined,,,F,5-,,,,,,,Ab,34,27,40.0,101.0,5-4,F,39,43,38,120.0,5-4,,5-
142,Combined,,,H,4,Yes,,16.0,6.0,16.0,38.0,4-3,14,15,18.0,47.0,5-4,H,35,11,14,60.0,5-4,,4
143,Combined,,y,H,,,,41.0,43.0,51.0,135.0,9-9,30,43,44.0,117.0,9-8,H,43,52,34,129.0,9-8,,
144,Combined,,,F,,,,26.0,22.0,30.0,78.0,3-3,32,19,22.0,73.0,3-2,F,32,14,19,65.0,3-2,,
145,Combined,,,F,5-,Yes,"Speech, Language and Communication Needs",16.0,21.0,28.0,65.0,3-2,20,23,36.0,79.0,2-2,F,26,18,14,58.0,2-2,,5-
146,Combined,,,H,5,,,19.0,13.0,24.0,56.0,5-4,16,7,21.0,44.0,5-4,H,30,19,11,60.0,5-4,,5
147,Combined,,,H,4+,,Moderate Learning Difficulty,24.0,20.0,28.0,72.0,6-5,7,22,31.0,60.0,6-6,H,23,31,28,82.0,6-6,,4+
148,Combined,,y,H,8-,,,37.0,44.0,46.0,127.0,9-8,42,42,42.0,126.0,9-9,H,57,54,33,144.0,9-9,,8-
149,Combined,,,H,5-,,,12.0,20.0,20.0,52.0,5-4,22,25,19.0,66.0,6-6,H,35,25,25,85.0,6-6,,5-
150,Combined,,,F,,Yes,,18.0,17.0,23.0,58.0,3-2,23,21,28.0,72.0,1-1,F,17,8,6,31.0,1-1,,
151,Combined,,,H,6+,,"Social, Emotional & Mental Health",16.0,10.0,20.0,46.0,4-4,18,22,15.0,55.0,6-5,H,25,33,16,74.0,6-5,,6+
152,Combined,,,H,5+,,,7.0,8.0,13.0,28.0,U,11,5,4.0,20.0,U,H,14,7,8,29.0,U,,5+
153,Combined,,,H,6+,,,14.0,12.0,21.0,47.0,4-4,15,,12.0,27.0,5-4,H,23,16,17,56.0,5-4,,6+
154,Combined,,,F,3-,,"Speech, Language and Communication Needs, Moderate Learning Difficulty",,,,0.0,U,,,,0.0,U,F,,,,0.0,U,,3-
155,Combined,,,F,3+,,"Speech, Language and Communication Needs",15.0,16.0,16.0,47.0,2-2,11,17,24.0,52.0,2-2,F,20,18,20,58.0,2-2,,3+
156,Combined,,,F,5+,Yes,,31.0,25.0,,84.0,4-3,37,24,33.0,94.0,4-3,F,42,25,20,87.0,4-3,,5+
157,Combined,,,H,6-,,"Speech, Language and Communication Needs",15.0,17.0,12.0,44.0,4-4,15,18,23.0,56.0,7-7,H,45,22,37,104.0,7-7,,6-
158,Combined,,,F,4,,,26.0,28.0,39.0,93.0,4-3,30,36,39.0,105.0,U,F,,,,0.0,U,,4
159,Combined,,,H,5,,,18.0,15.0,27.0,60.0,5-5,32,30,28.0,90.0,6-6,H,30,28,29,87.0,6-6,,5
160,Combined,,,H,6-,,,7.0,7.0,8.0,22.0,U,7,6,11.0,24.0,U,H,8,2,4,14.0,U,,6-
161,Combined,,,H,5-,Yes,"Speech, Language and Communication Needs, Moderate Learning Difficulty",16.0,6.0,19.0,41.0,4-4,21,25,21.0,67.0,5-4,H,26,16,11,53.0,5-4,,5-
162,Combined,,,H,5+,,,9.0,16.0,11.0,36.0,4-3,13,,,13.0,6-5,H,29,25,18,72.0,6-5,,5+
163,Combined,,,F,5,,,14.0,9.0,20.0,43.0,2-1,4,14,4.0,22.0,U,F,,4,absent,4.0,U,,5
164,Combined,,,F,3-,,"Social, Emotional & Mental Health",8.0,17.0,22.0,47.0,2-2,15,17,18.0,50.0,U,F,,,,0.0,U,,3-
165,Combined,,,F,3+,,Moderate Learning Difficulty,39.0,32.0,37.0,108.0,5-4,33,30,35.0,98.0,3-2,F,29,22,15,66.0,3-2,,3+
166,Combined,,,F,3-,Yes,Moderate Learning Difficulty,24.0,28.0,25.0,77.0,3-3,24,23,39.0,86.0,3-3,F,28,23,23,74.0,3-3,,3-
167,Combined,,,F,3,,"Moderate Learning Difficulty, Speech, Language and Communication Needs",10.0,15.0,18.0,43.0,2-1,13,,7.0,20.0,1-1,F,11,8,2,21.0,1-1,,3
168,Combined,,,H,6+,Yes,,16.0,18.0,18.0,52.0,5-4,9,10,20.0,39.0,5-4,H,30,20,11,61.0,5-4,,6+
169,Combined,,,F,4,,Moderate Learning Difficulty,,,,0.0,U,,,,0.0,U,,,,,0.0,U,,4
170,Combined,,,F,,,,,,,,,,,,,,,16,3,4,23.0,U,,
171,Combined,,,,,,,34.0,29.0,48.0,111.0,8-7,,,,0.0,U,,,,,,,,
